ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,91,58,57,1,1,1,1,1,1,3
1,92,78,53,1,1,1,1,1,1,11
2,112,48,28,1,1,0,0,1,1,4
3,78,47,26,1,1,0,0,1,1,7
4,41,40,28,1,1,1,1,1,1,5
5,57,47,32,1,1,1,1,1,1,6
6,54,47,40,1,1,1,1,1,1,6
7,85,80,25,1,1,0,0,0,0,3
8,89,86,54,1,1,1,1,1,1,9
9,118,94,68,1,1,1,1,1,1,6
10,98,63,36,1,1,0,0,1,1,7
11,81,42,38,1,1,0,0,1,1,4
12,86,59,39,1,1,0,0,1,1,4
13,91,67,40,1,1,0,0,1,1,4
14,73,61,41,1,1,1,1,1,1,9
15,67,59,57,1,1,1,1,1,1,6
16,84,75,33,1,1,0,0,0,0,9
17,96,88,70,1,1,1,1,1,1,4
18,67,44,30,1,1,0,0,1,1,5
19,82,76,64,1,1,1,1,1,1,5
