ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,83,71,46,1,1,1,1,1,1,13
1,76,63,54,1,1,1,1,1,1,4
2,91,56,40,1,1,0,0,1,1,8
3,61,42,34,1,1,1,1,1,1,7
4,84,67,47,1,1,1,1,1,1,6
5,95,79,57,1,1,1,1,1,1,8
6,90,80,23,1,1,0,0,0,0,4
7,69,43,28,1,1,0,0,1,1,7
8,72,69,48,1,1,1,1,1,1,7
9,83,64,58,1,1,1,1,1,1,4
10,99,94,24,1,1,0,0,0,0,8
11,96,69,53,1,1,1,1,1,1,7
12,71,70,36,1,1,1,1,1,1,7
13,57,52,45,1,1,1,1,1,1,5
14,99,71,43,1,1,0,0,1,1,8
15,72,71,27,1,1,0,0,0,0,9
16,59,37,22,1,1,0,0,1,1,6
17,86,56,44,1,1,1,1,1,1,10
18,80,55,41,1,1,1,1,1,1,6
19,78,58,30,1,1,0,0,1,1,5
