ID,X,Y,Z,ROTATION_XYZ,ROTATION_YXZ,ROTATION_ZYX,ROTATION_YZX,ROTATION_XZY,ROTATION_ZXY,COPIES
0,51,46,44,1,1,1,1,1,1,9
1,95,92,47,1,1,0,0,1,1,12
2,116,39,23,1,1,0,0,1,1,9
3,51,37,32,1,1,1,1,1,1,5
4,117,44,38,1,1,0,0,1,1,8
5,103,89,73,1,1,1,1,1,1,7
6,73,55,54,1,1,1,1,1,1,8
7,116,98,40,1,1,0,0,0,0,5
8,62,48,22,1,1,0,0,0,0,5
9,106,38,30,1,1,0,0,1,1,9
10,100,40,32,1,1,0,0,1,1,8
11,87,53,26,1,1,0,0,0,0,8
12,57,35,35,1,1,1,1,1,1,9
13,80,75,75,1,1,1,1,1,1,5
14,111,88,32,1,1,0,0,0,0,6
15,109,42,29,1,1,0,0,1,1,6
16,49,35,29,1,1,1,1,1,1,7
17,92,65,23,1,1,0,0,0,0,4
18,112,32,30,1,1,0,0,1,1,8
19,94,90,30,1,1,0,0,0,0,7
