ID,WIDTH,HEIGHT,STACK_ID
0,1764,384,0
1,825,1903,0
2,925,1643,0
3,289,1755,0
4,664,2273,0
5,839,2273,0
6,735,2420,0
7,441,1871,0
8,784,1871,0
9,1140,1435,0
10,484,1358,1
11,484,1358,1
12,484,1358,1
13,395,1205,1
14,395,1205,1
15,395,1205,1
16,395,1205,1
17,794,1970,1
18,794,1970,1
19,1781,681,1
20,750,1129,2
21,1042,1547,2
22,960,1088,2
23,960,1088,2
24,960,1088,2
25,960,1489,2
26,960,1489,2
27,960,1489,2
28,960,1489,2
29,484,1358,2
30,750,1096,3
31,599,476,4
32,605,872,4
33,579,938,4
34,323,959,4
35,323,959,4
36,323,959,4
37,636,1002,4
