ID,WIDTH,HEIGHT,STACK_ID
0,650,990,0
1,440,590,0
2,474,1268,0
3,474,1268,0
4,474,1015,0
5,474,1015,0
6,574,1743,0
7,574,1743,0
8,574,1743,0
9,574,1743,0
10,574,1743,0
11,574,1743,0
12,389,1675,0
13,389,1675,0
14,396,1675,0
15,396,1675,0
16,399,1153,0
17,399,1153,0
18,399,1053,0
19,399,1053,0
20,610,1230,0
21,577,1164,1
22,577,1164,1
23,381,2085,1
24,733,2085,1
25,482,1186,1
26,482,1186,1
27,482,1186,1
28,482,1186,1
29,482,586,1
30,482,586,1
31,482,1165,1
32,482,1165,1
33,482,1165,1
34,482,1165,1
35,482,1165,1
36,482,1165,1
37,482,1700,1
38,482,1700,1
39,482,1700,1
40,482,1700,1
41,635,1163,1
42,482,1700,1
43,600,1704,2
44,600,1704,2
45,600,1704,2
46,466,1850,2
47,466,1850,2
48,366,1319,2
49,366,1319,2
50,344,1299,2
51,344,1299,2
52,306,1229,2
53,306,1229,2
54,577,1181,2
55,577,1181,2
56,577,881,2
57,577,881,2
58,477,1181,2
59,477,1181,2
60,477,1181,2
61,477,1181,2
62,577,1164,2
63,577,1164,2
64,577,1164,2
65,577,1164,2
66,469,1076,3
67,469,1076,3
68,469,1605,3
69,469,1605,3
70,469,1605,3
71,469,1605,3
72,384,1826,3
73,384,1826,3
74,384,1826,3
75,384,1826,3
76,630,1220,3
77,369,1700,3
78,369,1700,3
79,369,1700,3
80,369,1700,3
81,636,972,3
82,636,972,3
83,610,961,3
84,450,961,3
85,450,961,3
86,600,1704,3
87,354,1325,4
88,354,1325,4
89,354,1325,4
90,402,1360,4
91,402,1360,4
92,679,744,4
93,679,744,4
94,699,1234,4
95,309,1234,4
96,309,1234,4
97,309,1234,4
98,309,1234,4
99,309,1234,4
100,309,1234,4
101,635,1835,4
102,420,776,4
103,420,776,4
104,469,976,4
105,469,976,4
106,469,1076,4
107,469,1076,4
108,420,776,4
109,469,976,4
110,469,976,4
111,469,1076,4
112,469,1076,4
113,332,384,5
114,332,384,5
115,626,1959,5
116,399,1043,5
117,399,1043,5
118,399,1043,5
119,399,1043,5
120,399,1043,5
121,399,1043,5
122,446,738,5
123,446,738,5
124,624,1025,5
125,664,880,5
126,564,875,5
127,377,1135,5
128,377,1135,5
129,352,1245,5
130,352,1245,5
131,399,1370,5
132,399,1370,5
133,354,1325,5
134,485,826,6
135,392,1621,6
136,392,1621,6
137,505,956,6
138,505,956,6
139,392,1606,6
140,392,1606,6
141,505,946,6
142,505,946,6
143,342,512,6
144,649,1222,6
145,649,1222,6
146,648,1222,6
147,648,1222,6
148,650,1700,6
149,650,1700,6
150,650,1700,6
151,650,1700,6
152,580,627,6
153,1689,618,6
154,1689,618,6
155,580,627,6
156,1689,618,6
157,1689,618,6
158,382,824,7
159,382,824,7
160,443,1518,7
161,443,1519,7
162,382,419,7
163,543,1519,7
164,543,1519,7
165,543,1519,7
166,543,1519,7
167,546,1129,7
168,546,1129,7
169,506,552,7
170,506,552,7
171,500,1935,7
172,500,1935,7
173,820,971,7
174,820,971,7
175,820,971,7
176,522,1171,7
177,522,1171,7
178,635,1261,7
179,451,782,8
180,445,532,8
181,445,532,8
182,445,532,8
183,445,532,8
184,814,1243,8
185,814,1243,8
186,489,623,8
187,489,623,8
188,614,1243,8
189,614,1243,8
190,614,1243,8
191,614,1243,8
192,474,1203,8
193,474,1203,8
194,474,1203,8
195,474,1203,8
196,474,1203,8
197,474,1203,8
198,624,769,8
199,576,1924,8
200,510,850,9
201,520,850,9
202,699,800,9
203,727,769,9
204,718,829,9
205,719,785,9
206,527,979,9
207,537,979,9
208,842,1009,9
209,757,1686,9
210,759,1766,9
211,882,1487,9
212,593,1706,9
213,593,1706,9
214,1077,460,9
215,1077,827,9
216,1077,460,9
217,1077,827,9
218,451,415,9
219,451,782,9
220,451,415,9
221,450,961,10
222,476,772,10
223,476,772,10
224,393,1175,10
225,393,1175,10
226,393,1175,10
227,393,1175,10
228,393,1175,10
229,393,1175,10
230,393,1175,10
231,393,1175,10
232,678,1992,10
233,494,1992,10
234,494,1992,10
235,494,2002,10
236,494,2002,10
237,494,2004,10
238,494,2004,10
239,494,2014,10
240,494,2014,10
241,510,850,10
242,426,1110,11
243,228,564,11
244,630,963,11
245,469,1159,11
246,469,1159,11
247,469,1690,11
248,469,1690,11
249,469,1702,11
250,469,1702,11
251,610,961,11
252,450,961,11
