ID,BIN,X,Y,WIDTH,HEIGHT
0,0,1685,3170,15,4
1,1,3203,1805,3,5
2,1,5332,3184,2,2
3,3,470,1875,5,5
4,4,1594,44,2,3
5,4,1637,2721,5,6
6,4,5071,905,5,6
7,4,5679,3184,2,2
8,4,5916,2575,2,2
9,5,80,100,5,6
10,5,3536,1433,1,2
11,5,4435,78,1,2
12,6,1249,1868,3,2
13,6,5424,1502,2,3
14,8,131,715,2,3
15,8,2104,1555,2,3
16,8,2116,1571,2,3
17,8,2161,1415,2,3
18,8,2220,1589,2,3
19,8,5861,346,2,2
20,9,5775,2161,2,3
21,10,3585,318,1,2
22,11,1576,3148,1,2
23,11,3332,518,1,3
24,12,2867,3147,15,5
25,13,1275,849,6,6
26,15,5468,929,5,4
27,16,4907,181,5,5
28,17,4272,2298,5,5
29,19,4907,135,7,4
30,19,5378,2471,13,5
31,20,2113,1568,2,3
32,20,2960,1985,9,3
33,20,2960,1988,11,7
34,21,3556,196,5,2
35,21,3734,1977,6,3
36,21,3734,1979,6,3
37,22,3609,3027,3,2
38,23,3291,3080,4,3
39,23,3668,49,10,6
40,23,4241,2281,1,2
41,23,5957,2427,9,7
42,24,3470,3136,4,4
43,25,3792,360,1,2
44,26,4539,3097,3,3
45,27,3137,3167,5,3
46,27,5897,1433,1,2
47,29,934,89,1,2
48,30,1194,996,4,3
49,30,3185,1167,1,2
50,31,292,1850,4,3
51,31,1962,2905,2,2
52,32,709,3089,1,1
53,32,784,2944,1,1
54,32,1352,1985,2,2
55,32,2414,491,1,1
56,33,5170,2975,2,2
57,34,5379,539,1,1
58,34,1964,2680,1,1
59,34,4882,31,1,1
60,34,1366,72,8,5
61,35,1073,63,1,1
62,35,1287,84,3,3
63,36,644,1169,1,1
64,36,668,1159,3,2
65,37,78,942,5,4
66,37,813,294,2,2
67,37,2951,1931,2,2
68,37,4726,2756,1,2
69,39,1494,1259,5,5
70,40,101,2665,1,1
71,40,233,1012,3,3
72,40,5666,2990,2,2
73,41,3809,2355,1,1
74,41,3486,315,3,2
75,42,2391,1886,1,1
76,42,3952,622,1,1
77,42,1829,2460,3,2
78,42,1836,2515,3,3
79,42,2576,257,4,4
80,42,2576,258,4,4
81,43,5082,3061,1,1
82,44,2273,2702,1,1
83,44,4536,1770,2,2
84,45,2880,97,1,1
85,45,4219,71,2,3
86,46,2562,291,1,1
87,46,5539,2307,1,1
88,46,3619,101,1,1
89,46,435,743,3,3
90,46,3647,99,4,6
91,46,4391,656,2,3
92,46,5542,2305,9,7
93,47,235,542,1,1
94,47,3333,188,2,3
95,47,4566,620,1,2
96,48,5013,2454,4,3
97,49,857,2556,1,3
98,49,4645,147,2,2
99,49,4723,2911,4,5
100,51,2350,103,1,2
101,51,4663,763,2,4
102,51,4969,373,2,3
103,52,464,2015,6,5
104,52,5410,2360,2,3
105,53,2836,1208,5,6
106,53,3599,943,1,2
107,53,4508,3080,2,2
108,54,3474,766,3,3
109,54,3990,2522,1,2
110,54,5569,2447,1,1
111,56,2111,2108,3,2
112,56,4258,3009,9,6
113,57,2525,398,1,2
114,57,2563,395,1,2
115,57,5449,2565,3,3
116,57,5721,2652,3,3
117,58,168,1216,4,3
118,58,426,615,4,5
119,58,3264,2862,3,4
120,58,4881,479,3,6
121,59,3191,9,2,4
122,60,5526,376,1,2
123,60,5587,613,1,2
124,62,3969,2474,4,4
125,63,1249,1359,1,2
126,64,583,3002,1,2
127,64,4377,1966,2,3
128,65,773,2783,3,4
129,66,612,1015,3,3
130,66,1321,104,2,4
131,66,2506,1828,6,8
132,67,3697,2788,3,3
133,67,3859,721,2,3
134,67,4528,2809,2,1
135,67,4544,265,3,4
136,68,3740,2900,4,2
137,69,1375,2897,2,4
138,69,3284,1853,1,3
139,69,3582,78,14,6
140,69,4141,20,2,2
141,70,903,538,1,2
142,70,1941,2466,1,2
143,71,3893,2706,1,2
144,72,2481,200,2,3
145,72,3186,111,7,4
146,73,2226,2876,2,3
147,75,418,899,2,4
148,76,1195,13,2,2
149,77,37,2343,2,2
150,77,5766,2433,1,3
151,78,2036,451,2,2
152,78,5190,2588,5,6
153,79,407,632,27,10
154,79,1382,2778,2,3
155,79,4039,3024,2,1
156,80,416,2712,2,1
157,80,2721,3115,7,3
158,80,3237,2206,1,2
159,80,4059,878,2,3
160,81,1742,111,5,4
161,82,47,2020,1,3
162,82,434,602,9,4
163,82,1472,2910,2,3
164,84,1728,1955,2,3
165,84,5262,3037,1,1
166,85,130,972,2,3
167,85,2792,2697,4,3
168,86,2248,3167,1,2
169,86,2363,877,2,4
170,88,1081,59,2,2
171,88,1108,2886,2,3
172,88,1802,818,1,3
173,88,2560,445,3,3
174,88,4887,1775,2,3
175,89,1205,3095,4,3
176,89,5258,10,2,1
177,91,277,723,1,2
178,91,680,517,1,2
179,91,1023,2821,3,5
180,93,1846,2310,3,3
181,93,2007,1003,2,3
182,93,4689,176,2,3
183,93,5046,2068,3,5
184,94,5388,2057,5,5
185,96,637,723,3,4
186,96,2025,2810,2,4
187,96,2596,1063,4,2
188,96,3015,411,4,4
189,96,4646,2528,2,4
190,97,1339,2931,3,4
191,97,2789,2020,4,3
192,97,3042,2717,1,2
193,98,2682,729,2,1
194,98,1080,870,2,4
195,98,1597,2569,1,3
196,99,2169,1467,1,1
197,99,295,1428,1,1
198,99,2368,393,1,1
199,99,308,1389,1,1
200,99,1721,2432,1,1
201,99,2547,558,5,1
