ID,WIDTH,HEIGHT,STACK_ID
0,578,804,0
1,411,928,0
2,411,928,0
3,411,928,0
4,804,2099,0
5,444,1702,0
6,444,1702,0
7,444,1702,0
8,444,1702,0
9,444,1702,0
10,444,1702,0
11,458,608,0
12,582,2041,0
13,443,2261,1
14,443,449,1
15,443,449,1
16,443,2295,1
17,443,2295,1
18,298,1414,1
19,298,1414,1
20,390,1794,1
21,390,1794,1
22,548,854,1
23,303,1414,1
24,303,1414,1
25,828,788,1
26,443,2261,2
27,443,2261,2
28,443,449,2
29,443,449,2
30,443,2261,2
31,443,2261,2
32,443,449,2
33,443,449,2
34,443,2261,2
35,443,2261,2
36,443,449,2
37,443,449,2
38,443,2261,2
39,269,597,3
40,401,2080,3
41,401,2080,3
42,401,2080,3
43,367,1196,3
44,751,2080,3
45,396,1303,3
46,396,1303,3
47,443,449,3
48,443,449,3
49,944,1993,4
50,1174,1813,4
51,1174,1813,4
52,558,1793,4
53,559,1793,4
54,722,716,4
55,1352,295,4
56,1352,295,4
57,852,490,4
58,706,852,4
59,706,874,4
60,285,1959,4
61,285,1959,4
62,944,958,5
63,944,958,5
64,944,958,5
65,944,958,5
66,944,958,5
67,944,958,5
68,1444,1993,5
69,1444,1993,5
70,944,1993,5
71,944,1993,5
72,944,1993,5
