ID,BIN,X,Y,WIDTH,HEIGHT
0,0,1840,239,2,3
1,0,2746,2368,4,3
2,0,4485,1695,4,4
3,0,4542,223,2,3
4,0,5012,2409,2,2
5,1,5451,3030,10,6
6,1,5823,2011,1,2
7,3,3535,1477,1,1
8,3,3913,3093,1,1
9,3,1469,93,4,4
10,3,5606,776,5,5
11,4,4458,2563,1,1
12,5,1292,298,6,5
13,6,1331,1722,7,7
14,8,228,2927,8,5
15,8,5264,626,2,2
16,10,5323,2339,4,4
17,12,788,1322,2,4
18,12,4397,2844,2,3
19,12,4397,2845,2,3
20,12,5541,3011,2,3
21,14,3727,2825,2,3
22,15,4319,138,1,2
23,16,71,2410,1,1
24,16,1804,1826,1,1
25,16,4700,732,1,1
26,16,924,2895,2,3
27,16,2367,3022,3,4
28,16,3248,766,4,3
29,16,3350,804,2,2
30,16,5003,2278,1,3
31,17,5896,3006,1,1
32,17,3150,171,1,2
33,17,4311,2757,1,2
34,17,4926,1744,3,5
35,19,3475,2485,1,1
36,19,3122,2950,2,3
37,19,5709,185,3,3
38,21,4857,2945,1,1
39,21,721,945,1,1
40,21,2788,2092,1,1
41,21,750,929,2,2
42,22,5858,720,1,1
43,22,3520,975,1,1
44,22,2345,2079,1,1
45,22,223,1377,4,4
46,22,4564,20,2,2
47,22,4969,1342,3,5
48,23,4750,3054,1,1
49,23,246,20,1,2
50,23,2977,2665,1,2
51,24,5898,781,1,1
52,24,213,1144,1,1
53,24,3355,2671,1,1
54,24,37,2241,1,1
55,24,5922,1483,1,1
56,26,1364,2391,1,1
57,26,5882,1367,1,1
58,26,5908,920,1,1
59,26,3140,2359,2,2
60,26,4278,1377,4,5
61,27,839,2463,2,3
62,27,2174,421,1,2
63,27,5394,1142,2,3
64,27,5481,1071,3,3
65,28,936,3196,6,3
66,28,4243,1719,1,2
67,29,2221,1084,2,3
68,29,2824,1754,10,6
69,29,4454,1059,4,3
70,29,5579,1069,4,3
71,30,970,1205,2,3
72,30,4302,811,3,3
73,30,4526,3020,2,1
74,30,5634,906,4,3
75,30,5804,1201,2,3
76,31,2976,1426,4,3
77,31,4379,2958,2,3
78,32,1385,1262,2,3
79,32,3352,1411,3,3
80,32,5253,3193,6,3
81,32,5404,552,10,5
82,33,2286,1063,2,2
83,33,2307,1068,2,2
84,33,3545,295,1,2
85,34,1192,196,1,2
86,34,5917,1362,3,4
87,35,2325,1442,6,4
88,35,2687,3191,2,2
89,35,4195,3193,2,2
90,35,5355,121,1,2
91,36,4049,1808,1,3
92,38,895,2434,1,2
93,38,1422,23,3,1
94,38,4073,2677,2,1
95,38,4814,153,1,2
96,39,4190,1337,2,3
97,39,4235,633,2,2
98,39,4936,2665,1,3
99,40,5393,761,1,2
100,42,4702,815,14,8
101,43,1550,1725,2,3
102,43,2507,27,1,2
103,43,4930,1375,4,3
104,43,5758,1370,3,3
105,44,278,1368,4,4
106,44,1956,1370,4,4
107,45,571,3025,7,5
108,45,5109,1378,3,4
109,46,3147,1369,3,3
110,47,2963,43,1,1
111,47,3057,891,4,4
112,47,4925,1381,3,4
113,47,5587,1348,3,4
114,49,46,2390,1,3
115,50,546,3187,2,2
116,50,909,397,17,7
117,50,2722,2475,1,3
118,52,2572,2356,11,6
119,52,2642,1354,3,3
120,52,2610,1393,3,4
121,52,3052,156,2,2
122,53,5467,250,2,4
123,54,3527,2800,11,5
124,54,4983,2233,1,2
125,55,323,2886,3,3
126,56,1687,323,2,2
127,56,4434,2756,2,3
128,56,4803,981,4,5
129,57,2276,663,2,3
130,57,2335,156,8,2
131,57,3050,1995,1,2
132,57,5708,25,2,3
133,58,1047,123,11,2
134,58,4975,1022,1,1
135,58,5989,2006,2,2
136,59,25,2000,1,2
137,61,2423,135,6,6
138,61,4000,2368,9,5
139,62,1985,2389,2,4
140,62,4964,2981,3,4
141,63,5542,1015,1,2
142,65,31,3201,14,3
143,65,1526,328,3,4
144,65,2398,300,2,3
145,66,4097,1143,2,4
146,67,4952,1420,1,3
147,68,2900,137,1,1
148,68,3293,908,2,3
149,68,4593,940,2,3
150,69,1478,472,5,6
151,69,1940,576,1,2
152,70,1755,3192,2,2
153,70,1796,3192,6,3
154,72,3026,889,1,2
155,74,2249,1055,4,4
156,75,2501,3191,3,3
157,75,4766,225,3,4
158,76,3017,169,2,4
159,76,3736,2021,2,2
160,78,2296,3203,8,1
161,79,1444,3200,5,2
162,80,2035,92,1,2
163,81,4173,3033,6,3
164,81,5517,1685,4,5
165,83,613,795,6,4
166,83,3760,3197,2,2
167,83,4987,50,2,4
168,84,825,3192,5,1
169,84,4666,1443,2,4
170,85,5563,3195,8,4
171,86,1413,1582,2,4
172,86,1557,553,1,2
173,86,1870,283,2,3
174,86,2653,138,6,2
175,87,332,3190,6,3
176,87,2395,1337,1,2
177,87,3311,550,1,2
178,88,812,1157,6,4
179,89,4627,119,6,5
180,90,621,1451,3,4
181,90,2082,640,5,5
182,90,3722,494,5,5
183,92,5665,439,4,5
184,93,4787,1991,3,3
185,93,4873,1974,2,2
186,93,5854,514,1,2
187,94,5783,573,1,1
188,94,5950,1027,1,1
189,94,83,1502,1,1
190,94,77,1733,1,1
191,94,2089,1182,2,4
192,94,2631,1770,1,2
193,94,3191,2956,10,3
194,94,3225,209,1,2
195,96,5777,558,1,1
196,97,5840,597,1,1
197,97,5195,204,1,1
198,97,3281,1491,2,1
199,97,244,133,1,1
200,97,1550,330,1,1
201,97,5928,259,1,1
202,97,296,660,1,1
203,99,987,1940,1,1
204,99,3592,337,1,1
205,99,203,1520,2,1
206,99,259,1406,1,1
207,99,527,2474,1,1
208,99,120,2204,1,1
