ID,BIN,X,Y,WIDTH,HEIGHT
0,0,229,2147,3,4
1,0,1619,3051,4,2
2,0,3354,128,1,2
3,0,4244,2769,1,2
4,1,121,2841,2,3
5,1,300,2495,2,2
6,1,344,2507,1,2
7,1,1114,2614,2,2
8,1,2745,55,1,2
9,2,423,82,1,2
10,2,2175,376,4,4
11,2,2817,2860,1,2
12,2,4724,98,6,7
13,2,5151,3145,2,2
14,2,5818,3106,2,3
15,3,766,3142,1,2
16,3,1660,2514,3,3
17,3,2601,1640,8,5
18,3,3989,39,1,2
19,3,4538,3128,2,3
20,4,56,2705,1,2
21,4,3274,2621,5,5
22,4,4007,894,1,2
23,4,4447,1811,1,2
24,5,2464,934,5,5
25,5,3431,2830,4,3
26,5,3430,2831,4,3
27,5,4072,255,1,2
28,5,5570,3124,5,3
29,5,5976,783,1,2
30,6,3625,769,2,3
31,6,3681,772,1,2
32,6,5208,2576,1,2
33,7,117,1910,1,2
34,7,1363,1120,4,4
35,7,4478,2958,4,4
36,8,5840,2801,1,2
37,9,774,643,3,2
38,9,1340,547,3,3
39,9,2976,3170,6,5
40,9,4137,557,2,2
41,9,4258,1193,3,4
42,9,5280,2454,1,2
43,10,61,2969,7,2
44,10,2003,2082,2,3
45,10,3122,1182,4,4
46,12,692,1708,3,4
47,12,2851,1266,2,1
48,12,5190,2546,2,2
49,13,1244,637,1,2
50,13,2449,1015,1,2
51,13,3011,121,1,2
52,13,4144,3020,4,3
53,13,4403,1491,10,13
54,13,5040,331,3,3
55,14,108,3023,2,2
56,14,113,3023,2,2
57,14,468,889,1,2
58,14,843,3021,10,4
59,14,4006,569,4,4
60,14,4855,2265,1,2
61,14,5038,3143,1,2
62,14,5464,513,2,2
63,15,606,3003,9,3
64,15,614,3004,2,2
65,15,1630,3000,12,4
66,15,2299,2686,3,3
67,15,4460,940,5,5
68,16,1849,2984,2,2
69,16,2933,617,5,5
70,16,3085,2923,7,4
71,16,4513,3139,1,2
72,17,160,162,1,2
73,17,793,2904,6,3
74,17,1655,2247,2,3
75,17,3558,182,3,2
76,18,86,2914,2,3
77,18,118,2914,3,2
78,18,123,2914,3,2
79,18,2735,132,1,2
80,18,2805,2021,1,2
81,18,3402,2687,4,3
82,18,5818,375,2,1
83,19,1516,219,3,2
84,19,3130,1066,2,1
85,19,5167,2309,10,6
86,20,1166,1602,1,2
87,20,3810,1908,1,2
88,21,4465,435,3,4
89,22,3644,111,1,2
90,22,5197,2670,3,1
91,23,4893,3134,1,2
92,24,2426,3148,4,5
93,25,1520,2577,1,2
94,25,3283,3176,1,2
95,25,3577,2185,4,4
96,25,3719,70,3,3
97,25,3878,13,4,4
98,25,4269,2768,3,2
99,26,4567,2987,3,2
100,26,4834,3148,2,3
101,27,1464,3003,3,3
102,27,2532,1471,4,4
103,28,278,54,2,2
104,28,1859,824,7,5
105,29,2506,2409,17,10
106,29,4736,1671,1,2
107,29,5816,2716,4,4
108,30,517,201,1,2
109,30,3079,69,1,2
110,30,5299,2972,4,3
111,31,1497,2346,6,5
112,31,3575,1079,1,2
113,32,2388,2480,1,2
114,32,2591,3151,1,2
115,33,714,888,2,1
116,33,2125,3038,2,3
117,33,2152,3047,1,2
118,33,2930,128,1,2
119,34,3628,611,1,2
120,34,5891,1029,1,2
121,35,698,2391,9,5
122,37,1299,87,2,2
123,37,2690,2109,1,2
124,38,293,1456,2,3
125,39,2699,3182,3,3
126,39,4349,656,1,2
127,39,4914,3177,1,2
128,39,5243,115,1,2
129,39,5276,2214,3,3
130,39,5541,2023,7,6
131,39,5805,2580,3,2
132,40,2524,1187,1,2
133,40,2816,138,1,2
134,40,4194,909,4,5
135,41,999,1276,6,4
136,41,2792,941,5,3
137,41,3201,2836,1,2
138,42,653,870,4,5
139,42,2043,988,3,4
140,42,3956,2610,3,4
141,43,1903,999,4,5
142,43,3552,3177,1,2
143,44,994,2383,7,2
144,44,1928,2771,1,2
145,44,3574,618,1,2
146,44,5257,3081,3,2
147,44,5691,654,3,3
148,46,618,2708,4,4
149,46,5935,3178,1,2
150,47,503,556,6,8
151,47,509,562,3,4
152,48,103,3013,7,6
153,48,646,312,5,6
154,48,869,2495,4,4
155,48,1958,2899,3,1
156,48,3688,272,2,2
157,48,3715,282,1,2
158,48,5196,3099,6,6
159,49,983,2028,1,2
160,49,1677,1640,2,3
161,49,1786,2129,3,3
162,49,3870,2794,5,6
163,50,773,470,1,2
164,50,2534,2767,6,4
165,50,2809,943,3,3
166,50,5922,19,1,2
167,51,447,3186,1,2
168,51,1612,379,2,2
169,51,2281,3185,5,3
170,51,2990,2276,3,3
171,51,5268,29,4,5
172,51,5374,2118,2,2
173,52,12,1628,1,2
174,52,1256,2728,4,3
175,54,510,2617,1,1
176,54,71,2994,2,1
177,54,4376,3169,1,1
178,54,4760,761,1,1
179,54,4549,1614,4,4
180,54,4823,1688,30,17
181,54,4818,3153,2,2
182,54,5372,1655,2,2
183,55,5975,738,1,1
184,55,971,3146,2,2
185,55,1856,3155,4,3
186,55,2453,1761,1,3
187,55,3242,1489,3,3
188,55,4849,3171,2,3
189,56,891,3060,1,1
190,56,517,2533,1,1
191,56,1497,3164,2,2
192,56,1674,2793,3,3
193,56,2423,3131,1,2
194,56,3523,2899,10,6
195,56,5586,3035,4,3
196,57,5960,2235,2,1
197,57,44,2193,1,1
198,57,46,581,1,1
199,57,48,3179,1,1
200,57,5273,3085,7,3
201,57,5532,128,1,2
202,59,995,86,1,2
203,59,1837,2740,1,2
204,60,4627,1764,1,1
205,60,5685,2590,1,1
206,60,691,1003,1,1
207,60,883,2456,1,2
208,61,320,1713,1,1
209,61,930,3010,1,1
210,61,136,2380,1,2
211,61,945,1341,1,2
212,61,1320,2853,1,2
213,61,3700,2016,5,5
214,61,4889,2231,2,2
215,63,3160,2194,4,4
216,63,3579,734,2,3
217,65,726,1797,2,3
218,65,4497,2978,2,3
219,66,2838,66,2,3
220,68,1317,712,1,2
221,68,3450,608,9,6
222,70,1960,1748,2,2
223,70,2971,416,1,2
224,70,5786,946,2,1
225,71,1997,3106,3,3
226,73,533,768,1,2
227,73,697,2019,1,2
228,74,3103,424,4,4
229,74,5132,3156,3,1
230,75,325,2677,3,3
231,75,934,59,11,8
232,76,2212,2925,2,3
233,76,2565,2960,2,1
234,76,3067,1879,2,1
235,77,1908,314,3,3
236,77,2703,2715,1,2
237,78,5863,2206,1,2
238,80,2992,2273,1,2
239,80,3915,510,3,3
240,81,1143,905,3,3
241,81,3457,3122,3,2
242,81,4326,431,3,3
243,82,449,2451,1,3
244,82,876,3144,1,2
245,82,2531,3108,4,1
246,82,2654,605,5,5
247,82,3521,1943,3,3
248,83,232,3071,1,2
249,83,2564,358,5,5
250,85,5392,124,1,2
251,86,1328,3061,4,3
252,86,1751,2661,4,3
253,86,2024,2608,2,2
254,86,2668,2945,1,2
255,86,4024,77,1,2
256,86,4149,849,5,6
257,86,5041,425,1,3
258,86,5886,85,1,2
259,87,1993,102,1,2
260,87,2096,3049,1,2
261,87,2269,3156,1,2
262,87,2747,1802,3,3
263,87,5721,469,5,4
264,88,370,395,4,4
265,88,3069,2409,1,2
