ID,BIN,X,Y,WIDTH,HEIGHT
0,0,3270,908,1,3
1,0,3938,2451,1,2
2,0,4953,1934,1,2
3,1,545,1690,2,4
4,1,821,2162,1,2
5,1,1257,1928,2,4
6,1,1621,686,2,2
7,1,4292,2241,1,2
8,1,5195,2895,3,3
9,2,854,275,1,2
10,2,3170,1628,1,2
11,3,334,2130,1,3
12,3,2505,3181,5,3
13,3,3291,3183,4,3
14,3,3496,1716,2,4
15,3,3902,211,10,6
16,4,51,3187,2,1
17,4,602,3183,4,3
18,4,1353,3183,1,2
19,4,1858,1865,3,3
20,4,3121,3181,4,3
21,4,3341,3189,1,2
22,4,5074,2132,4,3
23,5,1068,3193,1,2
24,5,1390,1999,1,2
25,5,1406,3178,7,3
26,5,1722,2768,1,2
27,5,2984,1905,1,2
28,5,3012,3178,5,3
29,5,4252,3161,2,2
30,5,5407,3184,7,3
31,6,602,1809,1,2
32,6,1341,3192,3,3
33,6,2068,70,1,2
34,6,2094,3165,8,4
35,6,2153,1929,1,2
36,6,2305,2636,1,2
37,6,4998,3162,1,2
38,7,1489,3101,2,2
39,7,3916,231,2,3
40,7,4971,719,2,2
41,7,5023,1848,1,2
42,7,5060,1847,1,2
43,7,5278,338,2,2
44,7,5294,341,2,2
45,8,2393,54,8,6
46,8,4891,1828,1,2
47,8,4955,2914,2,2
48,8,5474,3183,4,3
49,9,950,3177,2,2
50,9,1055,3183,9,4
51,9,2098,3178,2,2
52,9,3722,3183,5,3
53,10,1202,2315,2,3
54,10,5645,1831,1,2
55,10,5984,1496,3,2
56,11,4967,1144,8,5
57,11,4948,3180,8,4
58,11,5192,3161,3,3
59,12,1169,2117,2,2
60,12,2713,2065,1,2
61,12,2878,1153,2,2
62,12,3836,2968,2,2
63,12,4107,1845,2,4
64,12,5785,3177,2,3
65,14,699,727,1,2
66,14,835,1934,1,2
67,14,1762,1489,3,3
68,14,3888,3182,7,3
69,14,4167,3001,1,2
70,14,4606,143,2,2
71,15,1834,3177,4,4
72,15,2060,397,2,2
73,15,2811,3167,5,2
74,16,176,2290,3,5
75,16,2293,3180,9,4
76,16,3275,1702,1,2
77,16,3643,3173,9,4
78,16,4595,3170,2,3
79,16,4688,3162,2,2
80,16,5032,3166,1,2
81,18,474,3158,1,2
82,18,641,3175,13,5
83,18,5000,399,1,2
84,18,5398,1296,1,2
85,19,1840,3181,3,3
86,19,2053,2220,2,2
87,19,3154,2130,2,3
88,19,4098,2785,2,5
89,19,4768,3182,3,3
90,21,1912,1823,1,2
91,21,3586,1087,1,2
92,21,5700,3181,1,2
93,22,356,3178,8,4
94,22,338,3179,2,2
95,22,390,3180,1,2
96,22,1482,3160,1,2
97,22,2227,3179,3,3
98,22,4481,3169,1,2
99,22,4976,2279,2,3
100,23,3195,2979,2,2
101,23,3688,3181,15,5
102,24,41,3179,4,3
103,24,3301,3177,2,2
104,24,3993,2534,1,3
105,24,4872,3180,7,3
106,25,23,843,1,2
107,25,2253,3163,1,2
108,26,755,877,1,3
109,26,3088,1538,1,2
110,26,4199,1784,18,2
111,27,1803,182,4,3
112,27,5147,672,2,3
113,27,5238,3163,3,2
114,28,5169,3164,7,4
115,29,4493,1245,9,8
116,29,4972,3075,1,2
117,29,5620,1482,1,2
118,30,845,3171,4,3
119,31,342,2385,1,2
120,31,2738,3174,3,1
121,31,4726,1850,1,2
122,31,5165,804,2,3
123,32,4057,2803,8,4
124,33,3596,2813,3,4
125,33,5371,3172,2,2
126,33,5420,3173,6,3
127,34,1728,1527,1,2
128,34,3802,1316,1,2
129,35,2947,135,1,2
130,35,4406,3175,10,2
131,35,4703,322,2,2
132,36,842,3168,2,2
133,36,893,3168,1,2
134,36,1045,68,2,3
135,37,2086,2153,1,2
136,37,2130,2146,1,2
137,37,3417,3186,18,5
138,38,931,3100,2,2
139,38,1002,542,1,2
140,38,1954,3100,3,3
141,38,4926,2886,2,4
142,38,5634,1146,4,4
143,39,161,1538,9,6
144,39,599,2777,3,3
145,39,2143,2779,9,7
146,39,3780,2432,1,2
147,41,1643,67,1,2
148,41,2211,2964,1,2
149,41,3361,3190,4,8
150,41,3519,3183,2,2
151,41,4622,2994,2,3
152,42,4675,1916,3,3
153,42,4685,3184,2,2
154,42,5229,1597,2,2
155,42,5251,1815,1,2
156,43,1440,2776,10,5
157,43,1535,3202,2,2
158,44,4451,1538,1,2
159,45,165,1375,1,3
160,45,2402,2801,8,4
161,45,4343,3186,4,3
162,46,320,3184,2,2
163,46,2353,108,1,2
164,46,2591,2680,1,2
165,46,5169,544,4,4
166,46,5179,3187,2,2
167,47,1231,2240,2,2
168,47,2800,243,13,10
169,47,3147,3192,12,5
170,49,5684,2294,1,1
171,49,3602,2051,1,1
172,49,322,576,1,1
173,49,837,3023,1,1
174,49,5672,525,1,1
175,49,271,250,1,1
176,49,64,2435,1,1
177,51,262,590,2,1
178,51,1825,3172,2,3
179,51,3117,2422,3,2
180,51,5141,3080,1,2
181,52,5826,2411,1,1
182,52,193,2551,1,1
183,52,5698,1598,1,1
184,52,5772,1227,1,1
185,52,223,352,1,1
186,52,2986,2814,1,2
187,53,109,329,1,1
188,53,344,489,1,1
189,53,971,1750,1,1
190,53,2282,855,1,1
191,53,98,1966,1,1
192,53,163,1840,1,1
193,53,5824,1715,1,1
194,53,4219,3171,3,3
195,54,3808,478,1,1
196,54,3837,152,1,1
197,54,92,3094,1,1
198,54,40,2806,1,1
199,54,5797,1721,1,1
200,54,5648,624,1,1
201,54,2970,111,1,2
202,54,3537,1126,1,2
203,55,44,804,1,1
204,55,2375,2936,1,1
205,55,66,2193,1,1
206,55,737,786,2,1
207,55,258,1180,1,1
208,55,116,1862,1,1
209,55,45,1315,1,1
210,57,2461,3124,1,1
211,57,3171,2007,1,1
212,57,5797,1819,1,1
213,57,157,1764,1,1
214,57,1940,1582,1,2
215,57,2450,3106,3,2
216,57,5612,2545,3,2
217,59,4328,2679,1,1
218,59,5940,332,1,1
219,59,1381,810,2,1
220,59,1509,2935,3,3
221,59,4936,2144,2,2
222,61,5591,285,1,1
223,61,5968,1890,1,1
224,61,215,2359,1,1
225,61,5290,183,1,1
226,61,1888,66,1,1
227,62,287,746,1,1
228,62,320,1369,1,1
229,62,222,1197,1,1
230,62,5859,1291,1,1
231,62,5032,185,1,1
232,62,5722,2272,1,1
233,62,5499,2276,4,3
234,64,257,310,1,1
235,64,165,696,1,1
236,64,168,528,1,1
237,64,5865,1192,1,1
238,64,238,399,1,1
239,64,2167,3162,3,3
240,64,2786,2462,3,3
241,64,5310,2087,1,2
242,66,564,231,5,5
243,66,1810,271,1,2
244,66,2479,365,1,2
245,66,5622,2573,1,2
246,67,1763,2690,1,2
247,67,2333,407,1,2
248,67,2800,2151,1,2
249,67,2897,6,2,3
250,67,3598,74,1,2
251,68,1851,2462,2,4
252,68,3516,3169,3,3
253,68,4727,3180,3,1
254,69,3788,61,1,2
255,69,5585,3023,1,2
256,70,1839,2588,1,2
257,70,2818,2584,1,2
258,70,4817,3170,1,2
259,71,655,2789,1,2
260,71,1819,1775,5,1
261,71,2864,2791,3,1
262,71,4620,2097,1,2
263,72,1751,249,1,2
264,72,4909,1956,3,2
265,73,86,2316,2,3
266,73,1005,1775,2,1
267,73,3238,3000,3,1
268,73,3826,1433,2,2
269,73,5714,1358,1,2
270,74,151,2438,5,5
271,74,1755,445,1,2
272,74,3359,1706,1,2
273,74,3818,1782,8,6
274,74,5264,2925,5,5
275,75,1693,580,1,2
276,75,1811,3,8,9
277,75,3169,2600,1,2
278,76,602,3150,1,2
279,76,3944,2468,1,2
280,76,3957,3042,1,2
281,76,4712,2886,1,2
282,76,5277,753,1,2
283,77,36,469,1,2
284,77,2312,2881,1,2
285,77,2786,843,1,2
286,77,2930,2116,1,2
287,77,4321,2129,1,2
288,77,4823,1929,1,2
289,77,5201,292,2,2
290,78,693,1649,1,2
291,78,774,442,8,5
292,78,1860,1924,1,2
293,78,2159,2449,1,2
