ID,BIN,X,Y,WIDTH,HEIGHT
0,0,1586,84,2,3
1,0,5807,706,2,2
2,1,1710,2535,1,2
3,1,2892,3139,2,3
4,2,962,906,1,2
5,2,1224,2621,6,5
6,2,2148,1559,2,4
7,2,5900,3000,5,2
8,3,5923,2332,8,5
9,4,1767,2599,2,1
10,5,670,1255,3,4
11,5,1199,224,1,3
12,5,3454,308,2,3
13,5,3445,3108,2,3
14,5,4852,1006,1,2
15,6,1616,386,3,4
16,7,767,320,3,4
17,7,1762,669,3,4
18,7,3438,2327,6,5
19,7,4622,1695,12,13
20,7,5840,2721,1,3
21,8,805,1943,3,5
22,8,1095,3070,1,3
23,9,523,1217,3,5
24,9,1749,1922,1,2
25,9,2725,506,3,4
26,10,1983,2223,1,2
27,10,3515,26,1,2
28,11,2190,2057,3,5
29,11,2216,918,1,1
30,11,3190,135,1,2
31,11,4636,546,3,4
32,12,4158,1780,1,3
33,13,467,742,4,5
34,13,1043,286,2,4
35,14,4173,2098,4,4
36,15,429,475,3,4
37,15,1746,2907,2,2
38,16,1052,2564,3,5
39,16,2576,635,2,4
40,16,5420,273,4,5
41,17,910,2366,1,2
42,17,5744,2317,3,5
43,18,684,265,2,4
44,18,5466,769,2,2
45,19,2340,236,2,3
46,19,2339,237,2,1
47,19,2330,3142,11,6
48,20,1002,14,2,2
49,21,1950,70,3,5
50,21,4082,2805,2,3
51,22,1120,2215,3,5
52,22,2727,530,6,5
53,23,3408,26,1,2
54,23,3517,2635,3,5
55,24,2353,2228,3,3
56,24,4134,292,9,4
57,24,5983,1668,1,2
58,25,583,631,2,3
59,25,1257,2390,4,3
60,25,5410,2069,2,3
61,26,1502,2940,2,3
62,26,2970,133,2,4
63,27,80,777,8,8
64,28,1186,2215,12,6
65,29,3093,3020,1,2
66,29,5189,59,1,2
67,30,43,597,2,2
68,30,93,618,1,2
69,30,1893,3083,1,3
70,30,5315,3011,1,2
71,30,5328,1395,1,3
72,31,2578,1751,4,4
73,32,2562,2150,1,3
74,33,1296,1490,1,1
75,33,3170,2805,4,4
76,33,4835,2634,1,3
77,33,5478,3031,2,2
78,33,5870,2551,3,4
79,33,5973,3043,2,2
80,34,242,683,1,2
81,34,1326,1795,1,2
82,34,3152,1072,2,2
83,34,4135,3053,3,4
84,34,4265,2291,1,2
85,35,5909,173,1,1
86,35,379,2788,2,3
87,35,5765,1232,2,4
88,36,86,635,1,1
89,36,1629,195,1,1
90,36,3755,3149,1,1
91,37,2987,2899,1,1
92,37,1916,3166,1,1
93,37,1726,276,1,1
94,37,791,1347,3,5
95,37,5048,1215,1,2
96,38,3562,1384,1,1
97,38,1915,1175,1,1
98,38,3630,2400,1,1
99,39,1555,2357,1,1
100,39,4826,278,2,1
101,39,1549,2344,14,6
102,40,2831,3010,1,1
103,40,4525,2581,1,1
104,40,126,2338,1,1
105,40,192,2590,1,1
106,40,1582,2692,3,3
107,40,3146,3106,2,3
108,41,548,2714,3,3
109,42,1868,3165,1,1
110,42,5959,2395,1,1
111,42,647,2723,17,12
112,42,2287,2648,2,4
113,43,648,2715,1,1
114,43,2137,156,1,1
115,43,144,1987,1,3
116,43,1077,2319,1,1
117,43,1915,3169,2,1
118,43,2520,1280,2,4
119,43,3628,1983,17,6
120,43,5256,2146,1,3
121,44,264,694,1,1
122,44,291,716,1,1
123,44,272,720,1,1
124,45,3380,1438,1,1
125,45,3126,1904,1,1
126,45,3192,1776,1,1
127,45,3347,1692,1,1
128,45,1477,3049,13,6
129,45,5791,1326,2,4
130,46,71,194,1,1
131,46,497,216,2,2
132,46,1164,1139,7,6
133,47,566,1406,2,1
134,47,5429,261,2,1
135,47,58,2692,1,1
136,48,3505,3108,1,1
137,48,3504,3106,1,1
138,48,84,2704,1,1
139,48,3369,3179,1,2
140,48,5365,2644,2,3
141,48,5834,102,2,2
142,49,3449,2273,1,1
143,49,3720,792,2,3
144,50,3644,1579,2,1
145,50,504,40,1,1
146,50,365,2991,1,1
147,50,5935,2433,2,3
148,50,5924,2440,3,1
149,50,3604,1643,1,1
150,50,2771,861,2,3
151,51,4620,1178,1,1
152,51,331,2925,1,2
153,51,496,3066,3,3
154,51,2067,1978,2,3
155,52,5458,1426,3,1
156,52,4313,2650,1,1
157,52,2454,530,1,2
158,52,2764,2678,8,4
159,54,1624,3135,1,1
160,54,2771,139,1,2
161,55,5966,2747,2,3
162,56,4263,2798,1,1
163,56,4261,2800,2,1
164,56,4310,160,1,1
165,56,4313,160,2,1
166,56,5537,2808,1,1
167,56,4238,2824,1,1
168,57,5305,268,1,1
169,57,948,1786,5,1
170,57,5757,685,1,1
171,57,5151,126,1,1
172,57,1473,94,1,1
