ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1595,55,29,3
1,2080,52,40,2
2,1216,38,32,4
3,1634,38,43,2
4,2457,39,63,1
5,2501,61,41,2
6,2482,34,73,1
7,1444,38,38,2
8,2832,59,48,2
9,4080,60,68,1
10,1150,25,46,2
11,2204,38,58,1
12,810,30,27,2
13,3700,74,50,1
14,2730,39,70,2
15,2590,37,70,2
16,3660,60,61,1
17,4087,67,61,1
18,3600,72,50,1
19,1728,54,32,1
20,3066,73,42,1
21,4480,64,70,1
22,1276,29,44,5
23,3763,71,53,1
24,2484,54,46,2
25,750,25,30,8
26,1378,53,26,3
27,2842,58,49,1
28,2808,54,52,1
29,918,34,27,5
30,3120,65,48,1
31,1984,32,62,3
32,1350,54,25,4
33,2990,65,46,2
34,2100,50,42,2
35,1575,25,63,2
36,4292,74,58,1
37,1722,41,42,3
38,1521,39,39,1
39,5254,74,71,1
