ID,PROFIT,WIDTH,HEIGHT,COPIES
0,4485,69,65,1
1,2482,34,73,1
2,2108,62,34,2
3,3626,74,49,2
4,3285,73,45,2
5,1296,48,27,5
6,2115,47,45,2
7,3015,45,67,2
8,2303,47,49,1
9,1496,44,34,1
10,2650,53,50,1
11,2340,36,65,1
12,728,28,26,5
13,3498,66,53,1
14,1960,40,49,3
15,4690,67,70,1
16,1479,29,51,1
17,1742,26,67,2
18,1040,26,40,6
19,1020,30,34,4
20,1248,32,39,1
21,1598,47,34,1
22,1647,61,27,3
23,1820,65,28,3
24,3294,61,54,1
25,3528,63,56,1
26,899,31,29,6
27,2220,37,60,2
28,2277,69,33,3
29,2499,49,51,2
30,1804,41,44,2
31,1326,34,39,2
32,2322,54,43,1
33,3904,64,61,1
34,2562,42,61,2
35,2322,43,54,2
36,2256,48,47,2
37,3640,65,56,1
38,2838,66,43,2
39,2679,57,47,2
