ID,PROFIT,WIDTH,HEIGHT,COPIES
0,4070,55,74,1
1,2553,37,69,1
2,1696,53,32,3
3,2346,34,69,2
4,2706,41,66,1
5,1711,59,29,1
6,1350,27,50,6
7,3721,61,61,1
8,1800,30,60,3
9,1365,39,35,4
10,3015,67,45,1
11,2464,56,44,2
12,2950,50,59,1
13,1260,35,36,4
14,2279,53,43,2
15,3720,62,60,1
16,1596,38,42,3
17,961,31,31,4
18,3960,60,66,1
19,1472,32,46,5
20,1682,29,58,3
21,2590,74,35,1
22,4422,67,66,1
23,3360,60,56,1
24,2412,36,67,1
25,1300,52,25,2
26,3484,52,67,1
27,1682,58,29,3
28,2257,37,61,2
29,3456,48,72,2
30,1820,35,52,1
31,1782,27,66,3
32,3350,50,67,2
33,1980,60,33,2
34,3408,71,48,1
35,1650,50,33,1
36,2072,74,28,2
37,1920,30,64,3
38,2130,30,71,3
39,806,31,26,5
