ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1775,25,71,1
1,1440,36,40,3
2,2795,43,65,1
3,2470,65,38,2
4,1740,29,60,1
5,2992,68,44,2
6,4420,68,65,1
7,2275,35,65,2
8,928,32,29,9
9,1620,36,45,1
10,1404,36,39,2
11,3904,64,61,1
12,1305,45,29,1
13,1247,43,29,2
14,2520,72,35,2
15,988,26,38,6
16,1820,35,52,2
17,1620,30,54,3
18,1740,58,30,3
19,1665,45,37,2
20,2220,60,37,1
21,986,34,29,6
22,1008,28,36,1
23,1749,33,53,2
24,2310,42,55,1
25,4672,64,73,1
26,1408,44,32,3
27,2340,39,60,1
28,3752,67,56,1
29,1421,49,29,4
30,1656,46,36,4
31,2091,41,51,2
32,1769,61,29,3
33,1755,65,27,1
34,1739,37,47,3
35,1674,27,62,1
36,4060,58,70,1
37,2856,68,42,2
38,930,30,31,7
39,4420,65,68,1
