ID,PROFIT,WIDTH,HEIGHT,COPIES
0,2236,52,43,2
1,957,29,33,2
2,3744,52,72,1
3,2146,74,29,3
4,2738,74,37,1
5,1728,32,54,1
6,3111,61,51,1
7,1792,32,56,2
8,3432,52,66,1
9,1824,57,32,3
10,2310,70,33,2
11,1088,32,34,2
12,1287,33,39,4
13,1512,36,42,1
14,4958,74,67,1
15,945,35,27,2
16,3519,51,69,1
17,2074,34,61,2
18,1456,52,28,2
19,3904,61,64,1
20,1350,27,50,6
21,1755,65,27,2
22,1645,47,35,1
23,3819,67,57,1
24,2850,50,57,2
25,4140,60,69,1
26,3102,66,47,2
27,3120,48,65,1
28,2408,56,43,1
29,2700,45,60,1
30,2312,34,68,1
31,2000,40,50,2
32,1290,43,30,6
33,1188,36,33,5
34,700,28,25,7
35,4830,70,69,1
36,2679,47,57,2
37,1770,30,59,2
38,4161,57,73,1
39,3700,74,50,1
