ID,PROFIT,WIDTH,HEIGHT,COPIES
0,4615,71,65,1
1,1872,39,48,1
2,2176,34,64,2
3,3726,69,54,1
4,2788,41,68,1
5,1302,31,42,6
6,3136,56,56,1
7,754,26,29,4
8,910,26,35,1
9,3477,61,57,1
10,1368,38,36,1
11,1848,44,42,1
12,3417,51,67,1
13,4290,66,65,1
14,1444,38,38,1
15,1378,26,53,3
16,1892,44,43,4
17,870,30,29,9
18,2700,50,54,2
19,2170,35,62,1
20,3640,70,52,1
21,3996,54,74,1
22,2793,49,57,2
23,2736,72,38,2
24,3120,60,52,1
25,3408,71,48,2
26,858,26,33,8
27,3034,74,41,1
28,1696,32,53,3
29,3480,58,60,1
30,1566,58,27,1
31,2475,55,45,2
32,3300,60,55,1
33,1500,60,25,1
34,1680,42,40,4
35,1480,40,37,4
36,2632,47,56,1
37,1500,50,30,1
38,1911,39,49,4
39,1209,39,31,3
