ID,PROFIT,WIDTH,HEIGHT,COPIES
0,875,25,35,3
1,3990,57,70,1
2,3816,72,53,1
3,1890,35,54,1
4,2900,58,50,1
5,3828,58,66,1
6,2968,56,53,1
7,2368,74,32,2
8,3795,69,55,1
9,3300,66,50,2
10,1160,40,29,4
11,2176,64,34,2
12,2048,64,32,2
13,1155,35,33,4
14,3021,53,57,1
15,2494,43,58,2
16,3060,51,60,1
17,1408,32,44,4
18,4489,67,67,1
19,1020,30,34,5
20,2368,64,37,1
21,1188,27,44,6
22,5106,74,69,1
23,2035,37,55,1
24,2806,61,46,1
25,1156,34,34,1
26,2990,65,46,1
27,2145,65,33,2
28,3640,70,52,1
29,3105,45,69,2
30,2499,49,51,1
31,1320,44,30,1
32,3660,60,61,1
33,2117,73,29,3
34,2464,44,56,2
35,2184,39,56,2
36,1768,26,68,2
37,3577,73,49,2
38,1794,69,26,1
39,2208,48,46,4
