ID,X,COPIES
0,332918,5
1,331598,13
2,330848,6
3,329176,1
4,328915,10
5,321746,7
6,307717,2
7,306408,13
8,304946,12
9,300328,1
10,297680,12
11,297014,18
12,296651,11
13,293449,9
14,293025,17
15,288592,1
16,286244,8
17,282629,12
18,281259,10
19,280509,20
20,280059,12
21,279076,11
22,278967,19
23,277888,10
24,277548,8
25,276942,3
26,276842,12
27,274148,19
28,262258,16
29,260901,1
30,256045,16
31,254432,7
32,250246,16
33,249833,11
34,244284,6
35,241189,10
36,238495,20
37,235212,1
38,233318,8
39,232883,10
40,226531,1
41,225945,7
42,224113,6
43,216138,17
44,215616,20
45,213484,7
46,213359,14
47,212384,13
48,204491,20
49,204439,20
50,199971,7
51,198546,17
52,193775,12
53,193346,13
54,187994,12
55,186157,14
56,184829,14
57,181899,8
58,177579,16
59,171785,6
60,171309,5
61,170705,13
62,167866,14
63,166618,14
64,165643,1
65,164674,11
66,162656,12
67,159146,14
68,158043,14
69,154718,14
70,152082,9
71,151562,8
72,147769,14
73,142815,18
74,141962,5
75,141848,15
76,141106,12
77,140159,16
78,132526,3
79,124340,18
80,123403,5
81,121195,4
82,117452,5
83,117183,11
84,114947,15
85,112265,19
86,111434,6
87,105437,2
88,105408,2
89,103554,9
90,100758,20
91,99959,10
92,99340,7
93,98027,4
94,96360,7
95,95204,8
96,95173,11
97,88115,7
98,86699,4
99,85708,6
100,85559,12
101,84794,11
102,79655,3
103,75004,12
104,73289,4
105,71943,8
106,71373,5
107,70143,1
108,68099,14
109,66537,7
110,66489,17
111,63950,13
112,61998,14
113,60003,13
114,57326,18
115,48814,16
116,45818,2
117,44478,19
118,36351,3
119,32773,12
120,23476,2
121,19014,13
122,11319,6
123,10237,7
124,9381,3
