ID,X,COPIES
0,333180,15
1,332989,1
2,332984,5
3,331506,20
4,331208,17
5,329629,11
6,327864,15
7,326670,8
8,324981,14
9,324541,10
10,322587,16
11,322283,13
12,321891,13
13,321041,16
14,319195,18
15,318965,10
16,317988,20
17,316564,18
18,316507,12
19,313493,3
20,313159,11
21,311969,13
22,309171,15
23,306793,20
24,305268,10
25,303839,1
26,300913,14
27,299569,13
28,299380,6
29,298156,1
30,296622,11
31,296506,11
32,295436,10
33,292951,3
34,292769,12
35,292680,17
36,292551,1
37,292296,5
38,291294,4
39,290356,20
40,288397,19
41,287947,15
42,287433,12
43,283930,3
44,279097,8
45,276834,15
46,274639,4
47,272523,17
48,271551,20
49,268610,20
50,267947,7
51,267347,5
52,266195,11
53,263996,7
54,260432,5
55,258288,4
56,257707,8
57,257208,20
58,256151,2
59,255783,3
60,251961,12
61,251615,12
62,250263,20
63,250030,15
64,247897,9
65,247643,3
66,247043,18
67,246724,3
68,245975,15
69,245280,18
70,245027,14
71,244080,15
72,242389,11
73,241367,19
74,240504,18
75,239545,19
76,238933,8
77,238830,8
78,236578,2
79,235839,2
80,235436,20
81,234407,14
82,233869,19
83,233687,3
84,233278,9
85,231361,16
86,231009,4
87,230453,18
88,229657,18
89,228114,19
90,227856,7
91,227789,6
92,226075,16
93,225590,10
94,224057,6
95,223594,11
96,223518,11
97,220220,3
98,220107,14
99,219947,1
100,219275,16
101,218737,8
102,218448,8
103,218301,9
104,218272,5
105,214872,12
106,214312,16
107,213823,10
108,213820,2
109,211691,6
110,210429,12
111,209916,3
112,209855,5
113,208512,4
114,207867,6
115,207725,11
116,207688,17
117,206677,19
118,206397,13
119,206341,11
120,205801,11
121,205083,13
122,202352,11
123,201449,8
124,199842,7
125,198303,4
126,197608,15
127,196488,15
128,195109,5
129,194731,3
130,192730,9
131,192575,9
132,192555,18
133,190861,15
134,190194,3
135,190059,9
136,188127,5
137,188101,4
138,185690,7
139,184523,3
140,181580,15
141,179634,14
142,179259,8
143,179182,4
144,177734,3
145,177274,4
146,177249,20
147,177178,15
148,174240,12
149,172109,11
150,171156,16
151,169449,6
152,168403,8
153,165643,10
154,165421,20
155,162718,7
156,161977,7
157,161678,19
158,160306,8
159,159973,3
160,159120,3
161,153490,8
162,149154,2
163,148612,11
164,147802,18
165,147578,11
166,145634,11
167,145091,6
168,143735,10
169,142208,10
170,140281,5
171,140021,8
172,139926,8
173,138906,7
174,138123,1
175,137445,13
176,137183,10
177,136311,15
178,136216,7
179,135710,1
180,135634,9
181,134142,11
182,133694,20
183,132092,4
184,130332,17
185,129758,14
186,129371,11
187,127873,18
188,126831,16
189,125515,16
190,124874,3
191,123688,12
192,123629,6
193,123572,6
194,119503,1
195,119211,20
196,118191,2
197,115753,5
198,114213,7
199,113730,14
200,113232,5
201,113157,17
202,112996,8
203,109885,12
204,109573,19
205,108600,10
206,107623,14
207,106733,17
208,106066,20
209,105590,2
210,104021,6
211,102541,19
212,102204,15
213,100003,17
214,99441,6
215,98514,12
216,96585,12
217,96342,16
218,95065,9
219,94889,8
220,93861,14
221,93836,7
222,92814,1
223,92426,9
224,91889,8
225,91131,10
226,90747,16
227,90444,3
228,89165,16
229,88541,1
230,87035,16
231,86960,15
232,86540,7
233,85992,20
234,85236,13
235,84434,7
236,82766,18
237,81821,2
238,81050,16
239,79100,17
240,78283,11
241,78162,20
242,76776,1
243,75921,3
244,75730,9
245,72683,1
246,71500,2
247,69659,20
248,68778,10
249,67631,19
