ID,X,COPIES
0,998321,16
1,987111,6
2,984381,14
3,984335,17
4,984238,6
5,979997,1
6,977673,12
7,977211,5
8,975749,18
9,973117,19
10,972061,7
11,970849,13
12,970705,6
13,969143,13
14,967099,14
15,965107,15
16,964641,19
17,964040,20
18,961642,16
19,961635,17
20,959225,9
21,957026,14
22,956977,3
23,956048,13
24,954861,9
25,954818,4
26,952585,3
27,947504,16
28,942714,16
29,940941,12
30,933018,14
31,932574,19
32,926902,5
33,926881,13
34,925305,1
35,924132,2
36,923485,19
37,923102,9
38,919519,16
39,918954,2
40,918617,6
41,915435,3
42,914060,3
43,912015,6
44,909942,18
45,906945,13
46,906786,19
47,906683,4
48,904131,13
49,904019,1
50,901705,16
51,901008,13
52,899114,7
53,897938,13
54,893107,2
55,892173,9
56,889029,20
57,886203,20
58,886094,18
59,884473,15
60,881033,12
61,880804,12
62,879992,11
63,876626,17
64,873954,15
65,872988,7
66,872111,3
67,871670,10
68,871560,19
69,867593,18
70,865186,18
71,864971,19
72,862023,9
73,861178,15
74,857645,10
75,857335,3
76,857125,18
77,856118,16
78,854827,10
79,854445,20
80,853343,15
81,852220,7
82,850560,11
83,849398,18
84,845693,19
85,836301,18
86,835752,4
87,835040,17
88,834754,1
89,831042,1
90,831014,8
91,828015,13
92,824886,5
93,824425,10
94,823994,20
95,823188,15
96,816080,15
97,815105,13
98,812766,14
99,809504,2
100,808466,4
101,803521,1
102,799095,16
103,795931,13
104,794986,1
105,794863,13
106,794086,20
107,793183,9
108,793173,3
109,792996,12
110,790033,3
111,789522,18
112,788439,6
113,779175,1
114,775517,8
115,774246,13
116,773626,20
117,767044,1
118,766927,15
119,762822,3
120,760706,19
121,760252,18
122,757356,19
123,754035,9
124,753602,7
125,750525,13
126,750160,5
127,749236,3
128,748365,6
129,748176,6
130,748139,10
131,744621,12
132,743736,14
133,741393,4
134,738641,14
135,738277,8
136,737699,9
137,730938,20
138,729633,9
139,728878,3
140,725712,16
141,724914,10
142,724677,16
143,723908,18
144,720038,17
145,719780,19
146,714547,15
147,711079,15
148,710595,7
149,708560,9
150,705913,12
151,704690,20
152,700185,5
153,699993,17
154,699822,7
155,693770,5
156,691948,11
157,690152,8
158,688560,19
159,688451,9
160,687445,5
161,680872,3
162,680115,1
163,676256,14
164,675992,11
165,674265,11
166,667273,10
167,662221,1
168,662019,16
169,661349,7
170,661290,2
171,660150,3
172,658938,4
173,658753,8
174,657206,9
175,657141,9
176,654817,4
177,652746,19
178,650569,13
179,645262,11
180,645048,3
181,642062,1
182,640744,7
183,638262,8
184,637884,7
185,636372,2
186,633870,15
187,633201,8
188,630961,18
189,630274,5
190,629716,17
191,629303,15
192,627746,6
193,627007,3
194,626957,16
195,624541,2
196,619121,3
197,614461,3
198,612991,11
199,612370,12
200,610719,20
201,608944,5
202,605488,3
203,602355,17
204,598730,15
205,598352,4
206,597996,4
207,595770,7
208,594920,12
209,593944,9
210,591147,20
211,588686,13
212,581510,15
213,579415,1
214,576331,20
215,569526,14
216,569206,7
217,568962,3
218,566111,14
219,564749,9
220,564594,3
221,563441,11
222,563227,5
223,559308,15
224,555389,11
225,554200,13
226,554068,1
227,552494,13
228,552138,2
229,551098,9
230,545969,18
231,545157,12
232,544960,8
233,544076,6
234,540287,1
235,538065,9
236,535294,20
237,535106,5
238,534911,20
239,533920,20
240,533868,13
241,533135,16
242,532831,11
243,532310,10
244,523968,8
245,518465,11
246,512010,2
247,510009,20
248,509693,19
249,508680,12
250,506454,8
251,501657,12
252,497610,20
253,491077,10
254,482835,3
255,479540,19
256,477839,11
257,469558,7
258,466788,16
259,466371,11
260,463035,15
261,458353,14
262,457714,2
263,455998,5
264,454266,5
265,453076,18
266,451813,3
267,451459,4
268,442448,11
269,441494,20
270,438082,9
271,436143,9
272,433962,1
273,432200,8
274,432088,19
275,430318,5
276,428986,1
277,427201,12
278,426185,4
279,423147,16
280,420623,2
281,417581,18
282,416952,10
283,416569,12
284,414959,9
285,413630,15
286,410079,13
287,408231,3
288,407513,6
289,403755,16
290,400778,1
291,398920,9
292,396614,4
293,396398,4
294,395613,13
295,392656,15
296,389712,19
297,388159,4
298,387875,4
299,387201,14
300,385953,9
301,383147,16
302,379064,2
303,378563,15
304,377326,1
305,376681,5
306,376305,8
307,375893,14
308,372899,17
309,370265,16
310,369493,9
311,368649,18
312,361480,20
313,358748,18
314,357850,10
315,357783,1
316,355216,3
317,351322,18
318,350984,10
319,349051,6
320,347667,7
321,346301,19
322,345253,4
323,344401,18
324,337379,19
325,336392,5
326,335571,11
327,326081,10
328,325362,7
329,324511,6
330,323621,10
331,323247,12
332,322821,18
333,319743,17
334,319142,7
335,318319,13
336,316775,2
337,314184,4
338,313911,16
339,309772,3
340,309362,18
341,306202,18
342,305165,11
343,304261,14
344,297049,13
345,294445,18
346,293046,14
347,290213,4
348,290053,8
349,287723,6
350,284041,4
351,282799,6
352,276044,10
353,273055,11
354,271690,6
355,270257,5
356,268191,9
357,267478,6
358,267306,1
359,267204,11
360,266129,15
361,265911,3
362,265184,12
363,262039,2
364,259825,15
365,259320,17
366,256636,9
367,256186,18
368,254211,18
369,253146,12
370,252982,11
371,247649,7
372,247580,13
373,246897,3
374,240868,17
375,238830,4
376,237313,8
377,233075,15
378,231350,9
379,229400,15
380,229188,8
381,227583,10
382,227345,4
383,224243,19
384,223103,18
385,221966,4
386,218292,15
387,217913,17
388,210508,14
389,205392,14
390,202281,13
391,199971,11
392,199038,14
393,193750,17
394,192131,17
395,183892,20
396,181575,1
397,180438,2
398,180254,16
399,177271,18
400,176077,19
401,174608,4
402,173466,14
403,169939,16
404,168977,14
405,161994,8
406,160159,9
407,159676,15
408,159011,20
409,157803,3
410,155643,7
411,154995,15
412,154159,17
413,153442,11
414,152021,10
415,151533,1
416,149582,11
417,145481,15
418,143963,8
419,143438,18
420,143126,18
421,142489,18
422,141139,3
423,140633,14
424,137117,8
425,136843,7
426,136584,2
427,135681,2
428,131873,13
429,130003,6
430,129014,6
431,123285,7
432,118524,4
433,115572,11
434,112198,8
435,110560,13
436,109364,7
437,108062,1
438,106457,14
439,103386,13
440,102909,19
441,102804,2
442,98427,6
443,97089,2
444,97075,19
445,95539,1
446,93656,4
447,91432,17
448,88979,10
449,88590,6
450,83691,7
451,83603,5
452,83159,9
453,80665,16
454,79303,13
455,79200,13
456,79196,14
457,76128,16
458,76053,18
459,76044,6
460,75581,9
461,75156,19
462,74934,1
463,69459,6
464,69367,10
465,67379,20
466,67159,1
467,66090,2
468,65814,19
469,65182,7
470,64534,13
471,61698,11
472,60290,19
473,58204,10
474,58127,2
475,54681,11
476,54273,20
477,52268,14
478,48988,6
479,47587,10
480,46972,4
481,45716,20
482,44821,17
483,38535,20
484,38270,9
485,33174,6
486,33021,7
487,32929,5
488,28075,15
489,27890,8
490,24823,7
491,23300,16
492,20785,4
493,17368,1
494,15639,7
495,14802,7
496,14785,20
497,14197,18
498,12267,14
499,11959,17
