ID,X,COPIES
0,333255,13
1,331710,13
2,330911,12
3,330485,2
4,329810,8
5,327700,20
6,326627,7
7,326596,1
8,326235,3
9,325843,20
10,325345,4
11,325248,16
12,324832,5
13,324486,1
14,323143,5
15,322052,8
16,321733,13
17,321719,8
18,320088,15
19,319372,6
20,316755,18
21,315304,7
22,311379,19
23,311108,10
24,308887,10
25,308151,5
26,307969,6
27,307552,3
28,307378,3
29,306074,15
30,305645,2
31,304727,4
32,304629,9
33,304460,6
34,304275,16
35,302409,10
36,298455,12
37,297618,20
38,292463,10
39,291210,5
40,290735,11
41,287111,4
42,284801,1
43,283903,16
44,280429,7
45,279969,15
46,279002,17
47,276969,14
48,276170,17
49,274206,4
50,273393,11
51,273084,10
52,273041,14
53,272201,17
54,272035,13
55,270485,2
56,269426,13
57,269147,20
58,264238,10
59,263503,16
60,263446,3
61,263339,14
62,262182,7
63,261901,9
64,261769,9
65,261479,18
66,258925,13
67,256159,16
68,255657,3
69,254378,11
70,254253,1
71,254108,20
72,253598,8
73,251644,12
74,251578,4
75,251569,3
76,251388,14
77,249672,13
78,248652,17
79,248353,1
80,247050,12
81,247037,17
82,246709,14
83,244378,12
84,243564,5
85,242235,18
86,242107,16
87,240202,14
88,239802,3
89,238339,16
90,238180,8
91,237655,17
92,236998,10
93,235515,15
94,233310,14
95,233256,1
96,232719,7
97,231111,7
98,230698,3
99,230429,11
100,228578,13
101,228273,2
102,226087,5
103,224280,10
104,222951,1
105,221515,16
106,221053,1
107,220936,12
108,220416,3
109,218586,7
110,216324,3
111,214707,5
112,214501,16
113,214282,6
114,211426,6
115,210992,3
116,207805,16
117,206717,18
118,204856,7
119,204761,15
120,203031,7
121,202518,13
122,201171,5
123,198007,5
124,197914,3
125,197139,8
126,196412,4
127,193275,5
128,193063,12
129,191644,20
130,191139,3
131,190589,15
132,189422,8
133,186698,1
134,186313,7
135,185070,5
136,182435,15
137,180681,12
138,180134,9
139,179467,4
140,177906,7
141,177810,10
142,177700,7
143,177474,7
144,177355,14
145,176436,20
146,176018,17
147,175595,15
148,175490,2
149,174445,13
150,173401,11
151,172253,7
152,171933,12
153,171549,8
154,171483,5
155,170836,1
156,163528,14
157,163280,3
158,163220,13
159,162231,14
160,162153,5
161,161802,8
162,160358,7
163,159615,9
164,158917,18
165,154739,9
166,154553,17
167,154527,16
168,154217,13
169,153419,10
170,152757,3
171,152684,4
172,152326,16
173,150673,17
174,148131,10
175,144025,6
176,143417,13
177,143287,4
178,142464,2
179,141360,19
180,140256,10
181,137841,18
182,136240,15
183,135442,8
184,134383,18
185,133326,8
186,132430,8
187,131564,19
188,130967,16
189,130778,18
190,130297,15
191,128834,19
192,127637,17
193,126552,11
194,125490,3
195,125363,6
196,125158,19
197,124599,13
198,121028,15
199,120659,7
200,120021,1
201,119789,17
202,118557,7
203,118309,1
204,115900,13
205,115252,11
206,114374,10
207,113505,5
208,113286,1
209,112187,7
210,112033,5
211,111784,8
212,110863,13
213,105952,12
214,104772,9
215,104760,11
216,104013,9
217,103735,14
218,102684,14
219,101953,14
220,101870,17
221,100390,20
222,100213,4
223,99900,9
224,98839,3
225,94766,4
226,92791,3
227,91775,15
228,91070,5
229,89773,6
230,87864,5
231,87330,18
232,86857,17
233,85894,1
234,85366,19
235,84352,15
236,82490,10
237,81947,17
238,81591,14
239,79322,17
240,77628,9
241,77532,15
242,75898,12
243,73997,7
244,73446,6
245,72561,11
246,72433,1
247,71548,9
248,70558,11
249,68477,11
