ID,X,COPIES
0,999734,15
1,995291,19
2,993672,20
3,989555,5
4,981463,20
5,980563,15
6,979054,4
7,977141,17
8,976318,9
9,971407,20
10,970172,14
11,970149,18
12,964777,8
13,953752,16
14,951992,18
15,950694,19
16,950635,16
17,945802,19
18,943347,5
19,940518,10
20,940512,9
21,939332,16
22,936797,2
23,918150,17
24,916625,4
25,916567,18
26,910963,7
27,910369,6
28,902613,15
29,901012,19
30,898860,18
31,895273,11
32,895087,19
33,892208,12
34,890623,11
35,888461,4
36,883352,20
37,878687,20
38,876591,15
39,875302,2
40,874129,10
41,864597,19
42,857278,6
43,854774,15
44,847718,13
45,845459,6
46,833218,2
47,832528,13
48,823823,20
49,823687,15
50,823345,7
51,823121,5
52,821249,13
53,819002,16
54,810566,4
55,808743,6
56,801995,4
57,797206,13
58,794057,12
59,778524,11
60,773199,17
61,770367,11
62,769699,7
63,769489,15
64,763523,13
65,761600,12
66,756433,11
67,748921,14
68,748626,1
69,744586,9
70,743678,9
71,738516,12
72,737252,10
73,736186,8
74,734513,2
75,732687,10
76,732249,13
77,729410,3
78,728594,13
79,727610,5
80,725997,1
81,712006,4
82,711350,3
83,709428,17
84,699264,16
85,696793,12
86,696395,19
87,696350,7
88,689055,3
89,686138,17
90,684320,5
91,680732,18
92,679664,15
93,669866,1
94,657845,20
95,649350,16
96,648000,8
97,644925,7
98,638236,8
99,630346,15
100,627068,16
101,622839,18
102,621526,13
103,620430,18
104,615416,2
105,611338,1
106,606276,5
107,605214,19
108,603187,1
109,600640,6
110,600009,10
111,593276,2
112,586814,11
113,584676,17
114,582800,11
115,579007,13
116,578182,6
117,570550,3
118,569844,9
119,567250,13
120,566119,16
121,559644,12
122,554204,8
123,553243,20
124,551903,1
125,551555,12
126,550662,12
127,545234,8
128,544444,1
129,543899,16
130,541881,5
131,541541,9
132,533350,15
133,524600,9
134,523155,10
135,521739,1
136,518655,13
137,517604,12
138,516682,2
139,515623,7
140,515132,5
141,514657,12
142,513096,1
143,508482,16
144,507533,6
145,507024,8
146,504500,19
147,504087,20
148,503277,18
149,499382,18
150,496736,12
151,488967,18
152,484484,18
153,482818,18
154,482756,8
155,480740,4
156,480638,3
157,480003,13
158,475233,17
159,467985,20
160,464694,15
161,464638,15
162,460697,10
163,460656,7
164,460533,15
165,459493,4
166,455485,1
167,453981,2
168,448127,9
169,445535,1
170,441858,14
171,439777,8
172,433920,9
173,430541,4
174,430075,3
175,428096,3
176,427375,15
177,427006,6
178,426830,7
179,419131,17
180,418165,15
181,413554,1
182,412518,20
183,407233,14
184,403324,2
185,397925,16
186,394899,8
187,387743,10
188,379366,8
189,376582,13
190,375186,7
191,374115,9
192,373236,9
193,372832,12
194,366249,20
195,364989,9
196,359403,10
197,356456,2
198,352226,18
199,351490,4
200,351410,6
201,350116,3
202,347633,9
203,347012,4
204,345684,7
205,345327,2
206,339308,6
207,337714,14
208,336661,4
209,336257,3
210,336210,9
211,328407,4
212,313275,17
213,310383,18
214,304206,16
215,302410,19
216,301067,18
217,296018,18
218,290690,14
219,285739,11
220,284905,20
221,284516,11
222,279728,10
223,278694,13
224,278581,18
225,271452,5
226,271408,13
227,269881,17
228,267622,16
229,266127,2
230,256219,15
231,254539,4
232,252563,17
233,245493,9
234,239739,8
235,232301,3
236,227816,17
237,227084,11
238,223629,19
239,220916,2
240,217267,14
241,216063,18
242,215096,4
243,215061,14
244,211496,6
245,211074,12
246,206214,12
247,203653,8
248,200575,13
249,200481,6
