        40       100       100
      2106        39        54         3
      1720        40        43         3
      1980        45        44         2
      1890        35        54         1
      2650        53        50         1
      1457        31        47         2
       900        25        36         2
      2080        52        40         1
      2080        65        32         4
      1598        34        47         4
      1269        27        47         2
      2976        48        62         2
      2014        53        38         2
      2880        64        45         2
      4884        74        66         3
      2508        38        66         3
      1976        52        38         1
       850        34        25         3
      2409        73        33         2
      2688        48        56         3
      2100        30        70         1
      1850        50        37         1
      2035        55        37         3
      2773        59        47         3
      3283        49        67         1
      2968        53        56         4
      2304        32        72         1
      2565        57        45         3
      1952        32        61         1
      1656        46        36         2
      2444        47        52         3
      3456        54        64         3
      3551        67        53         4
      1776        37        48         3
      3150        50        63         3
      2520        36        70         1
      1568        28        56         1
      1200        48        25         1
      2646        54        49         1
      2379        39        61         1
