        40       100       100
      1674        31        54         3
      1620        36        45         1
      1612        31        52         4
      2156        44        49         3
      2624        41        64         1
      1749        53        33         3
      1960        49        40         1
      4662        74        63         3
      3162        51        62         3
       960        32        30         2
      3128        68        46         4
      1560        60        26         3
      2068        47        44         4
      4453        73        61         4
      3536        52        68         3
      1995        35        57         1
      2211        67        33         2
      1480        40        37         4
      1711        59        29         3
      2278        34        67         1
      2580        43        60         4
      2256        47        48         1
      1769        61        29         3
      2832        48        59         3
      1920        30        64         2
      3304        59        56         2
      4307        73        59         4
      4060        58        70         1
       784        28        28         1
      1980        44        45         4
      3834        71        54         1
      1820        52        35         3
      2242        38        59         3
      2838        66        43         2
      1470        30        49         2
      3240        45        72         3
      1431        27        53         4
      2040        60        34         2
       992        31        32         3
      1794        39        46         3
