        40       100       100
      1650        25        66         2
      1634        43        38         2
      1984        64        31         4
      2150        50        43         1
      2232        36        62         4
      1989        39        51         2
      1742        67        26         2
      4209        69        61         1
      2508        57        44         3
      1036        28        37         3
      2590        70        37         2
      3570        51        70         2
      2244        44        51         2
      3484        52        67         1
      2948        44        67         3
       775        31        25         3
      1512        42        36         4
      4002        58        69         4
      2072        37        56         4
      4047        71        57         2
      3752        56        67         4
      2368        74        32         1
      3337        71        47         2
      3953        59        67         3
      3953        59        67         2
      3520        64        55         3
      2701        37        73         3
      1872        36        52         2
      3540        59        60         1
      2752        43        64         3
      1247        29        43         1
      1978        46        43         2
      1190        35        34         1
      1806        42        43         2
      1248        32        39         1
      3190        55        58         1
      4536        63        72         2
      2535        65        39         2
       812        28        29         1
      1064        38        28         4
