2 3 50 0 0 0
500 500 250000
600 400 240000
550 450 247500
277 242 83  0
233 177 51  0
182 216 30  0
147 134 19  0
213 127 29  0
315 212 97  0
261 175 24  0
210 281 85  0
243 256 36  0
159 314 74  0
217 147 87  0
260 349 18  0
222 199 47  0
296 127 69  0
263 302 23  0
226 250 13  0
264 344 54  0
237 179 62  0
245 137 42  0
137 328 40  0
321 154 45  0
200 174 46  0
270 128 11  0
299 179 13  0
165 370 72  0
198 182  3  0
155 295 12  0
278 219 85  0
184 155 53  0
187 270 32  0
208 293 44  0
261 204  8  0
344 168 37  0
213 135 19  0
362 162 10  0
362 374 84  0
237 322 64  0
281 308 58  0
155 344 68  0
210 163 51  0
325 225 72  0
360 225 71  0
346 347 92  0
131 144 82  0
284 284 70  0
262 228 10  0
146 178 40  0
254 164 10  0
332 238 42  0
313 304 76  0
gcut8dr
