ID,WIDTH,HEIGHT,GROUP
0,8,2,0
1,13,4,1
2,10,30,2
3,28,4,3
4,20,21,4
5,13,7,5
6,5,13,6
7,9,21,7
8,2,12,8
9,7,3,9
10,10,21,10
11,20,4,11
12,26,7,12
13,5,13,13
14,7,9,14
15,11,2,15
16,7,5,16
17,9,3,17
18,7,12,18
19,22,5,19
20,6,15,20
21,19,3,21
22,2,5,22
23,6,11,23
24,6,2,24
25,2,5,25
26,31,11,26
27,8,4,27
28,11,17,28
29,22,10,29
30,14,8,30
31,11,7,31
32,12,12,32
33,9,22,33
34,4,3,34
35,2,9,35
36,6,2,36
37,7,7,37
38,9,2,38
39,19,30,39
40,14,8,40
41,2,6,41
42,16,6,42
43,22,4,43
44,2,4,44
45,14,3,45
46,22,6,46
47,7,3,47
48,6,14,48
49,6,6,49
50,23,15,50
51,14,2,51
52,2,4,52
53,8,5,53
54,8,2,54
55,7,17,55
56,7,9,56
57,20,3,57
58,2,13,58
59,6,4,59
60,30,9,60
61,8,18,61
62,8,3,62
63,12,2,63
64,8,10,64
65,20,6,65
66,4,5,66
67,28,6,67
68,2,9,68
69,7,3,69
70,4,9,70
71,14,3,71
72,9,3,72
73,5,8,73
74,8,10,74
75,11,3,75
76,61,9,76
77,12,2,77
78,12,9,78
79,2,5,79
80,8,6,80
81,8,11,81
82,31,9,82
83,14,4,83
84,28,5,84
85,26,4,85
86,11,18,86
87,7,2,87
88,6,11,88
89,18,6,89
90,7,5,90
91,4,5,91
92,39,10,92
93,6,9,93
94,18,10,94
95,5,9,95
96,29,6,96
