ID,WIDTH,HEIGHT,GROUP
0,8,4,0
1,4,3,0
2,10,7,0
3,11,5,0
4,5,3,0
5,4,2,0
6,18,4,1
7,18,7,1
8,2,4,1
9,6,3,1
10,4,1,2
11,4,5,2
12,12,15,2
13,5,4,2
14,7,12,3
15,8,5,3
16,10,10,3
17,10,5,3
18,5,2,3
19,24,4,3
20,12,13,3
21,1,2,3
22,17,12,3
23,18,3,4
24,3,1,4
25,4,6,4
26,16,4,4
27,7,13,4
28,5,4,4
29,1,5,4
30,8,10,5
31,15,7,5
32,13,6,5
33,13,20,5
34,18,3,5
35,2,4,5
36,7,9,5
37,4,7,6
38,11,4,6
39,3,6,6
40,2,5,6
41,4,13,6
42,5,12,6
43,37,6,7
44,5,4,7
45,4,7,7
46,5,2,7
47,25,4,8
48,8,12,8
49,9,5,8
50,18,3,8
51,16,5,8
52,12,13,8
53,7,4,9
54,18,4,9
55,10,2,9
56,18,15,9
57,9,4,9
58,2,3,9
59,22,9,9
60,5,5,9
61,25,5,10
62,12,2,10
63,12,5,10
64,6,3,11
65,5,28,11
66,15,10,12
67,5,7,12
68,5,5,12
69,25,19,13
70,11,6,13
71,12,15,13
72,7,19,13
