ID,WIDTH,HEIGHT,COPIES
0,45,72,1
1,64,43,4
2,67,49,3
3,40,46,2
4,79,69,1
5,55,25,8
6,46,64,2
7,34,45,2
8,30,35,8
9,63,73,1
10,27,41,9
11,50,35,6
12,58,61,3
13,45,27,4
14,33,74,1
15,73,39,3
16,48,49,4
17,80,52,1
18,72,37,3
19,37,41,7
20,81,74,1
21,52,57,4
22,54,33,2
23,27,38,6
24,42,27,6
25,58,65,2
26,41,30,5
27,53,73,2
28,60,78,1
29,45,41,3
30,73,65,1
31,40,44,4
32,34,27,9
33,57,48,3
34,76,41,2
35,33,27,5
36,70,57,1
37,68,46,2
38,31,60,5
39,43,62,6
40,43,54,4
41,80,42,1
42,70,26,2
43,66,71,2
44,36,59,6
