ID,WIDTH,HEIGHT,PROFIT
0,271,852,349
1,390,672,512
2,501,701,183
3,583,309,166
4,605,560,239
5,229,607,551
6,444,514,605
7,641,937,383
8,658,327,658
9,257,877,579
10,291,697,287
11,525,320,416
12,406,712,527
13,651,594,378
14,549,714,659
15,521,704,218
16,349,309,511
17,301,864,279
18,510,908,191
19,704,775,437
20,505,363,414
21,633,423,465
22,462,560,488
23,524,880,571
24,373,672,521
25,246,837,712
26,413,723,523
27,368,335,717
28,432,540,286
29,501,866,307
30,427,798,410
31,315,551,483
32,645,522,361
33,662,459,166
34,675,696,404
