ID,WIDTH,HEIGHT,PROFIT
0,1934,775,693
1,855,855,253
2,1855,1260,581
3,2033,751,331
4,1818,1057,380
5,736,2012,189
6,1791,2017,402
7,717,2354,581
8,708,1649,527
9,1981,1913,347
10,1474,2075,747
11,2108,1370,290
12,1344,1867,684
13,2146,969,333
14,1072,2111,489
15,1260,1236,445
16,874,1590,659
17,2085,2029,333
18,1143,1472,441
19,1141,1551,391
20,1206,857,681
21,1422,969,584
22,1214,2293,602
23,1309,888,746
24,1014,2076,626
25,2224,2088,737
26,1145,926,576
27,706,799,295
28,1626,1831,657
29,1068,1522,607
30,1639,798,456
31,1457,2150,526
32,1566,895,178
33,1844,1852,487
34,1834,1778,541
35,1511,1058,201
36,1108,2315,473
37,1999,1839,278
38,830,1285,599
39,1379,756,191
40,1755,1694,446
41,1645,814,730
42,1088,1695,378
43,767,1601,454
44,1158,1634,394
45,1828,854,665
46,993,1888,185
47,2245,1806,664
48,2216,2343,373
49,1122,1956,564
50,2192,2279,353
51,1481,1983,712
52,900,927,211
53,882,1190,381
54,2187,1561,581
55,1545,2181,321
56,798,880,231
57,1695,1789,233
58,1904,1991,528
59,1464,1516,696
