ID,WIDTH,HEIGHT,PROFIT
0,633,266,248
1,508,545,302
2,800,368,537
3,357,265,704
4,640,477,249
5,608,323,386
6,433,204,483
7,691,590,243
8,433,584,253
9,260,594,694
10,380,294,407
11,350,524,537
12,322,554,686
13,316,387,397
14,800,382,422
15,451,260,531
16,598,215,221
17,341,435,218
18,324,532,224
19,713,538,520
20,599,218,706
21,604,333,710
22,434,363,682
23,521,458,436
24,488,281,249
25,311,318,170
26,394,284,335
27,532,236,700
28,309,477,725
29,468,504,432
30,607,332,168
31,492,569,514
32,523,374,587
33,511,377,254
34,265,331,566
35,739,495,566
36,655,633,322
37,298,495,503
38,586,321,626
39,769,246,196
40,483,427,456
41,287,534,516
42,370,609,288
43,708,231,532
44,414,447,677
