ID,WIDTH,HEIGHT,COPIES
0,121,354,3
1,254,321,2
2,261,308,4
3,451,187,3
4,124,237,7
5,351,402,3
6,351,165,3
7,185,201,4
8,319,201,1
9,261,308,4
10,451,187,3
11,219,315,4
12,386,304,3
13,183,329,2
14,212,214,5
15,354,254,3
16,250,149,4
17,222,537,3
18,309,227,3
19,273,209,4
20,325,206,2
21,344,421,4
22,380,497,2
23,301,228,2
24,261,409,2
25,194,206,3
26,175,300,2
27,256,244,4
28,183,342,2
29,282,231,1
30,326,147,2
31,268,237,2
32,384,362,2
33,248,363,1
34,295,368,3
35,315,408,2
36,411,246,3
37,189,576,3
38,261,314,3
39,181,382,2
40,256,367,1
41,315,464,3
42,186,561,2
43,167,354,2
44,500,267,2
45,313,471,1
46,492,321,2
47,251,260,3
48,282,364,1
49,429,264,2
