ID,WIDTH,HEIGHT,PROFIT
0,360,183,570
1,113,454,688
2,145,427,503
3,256,247,417
4,206,441,653
5,235,293,576
6,183,283,681
7,317,202,304
8,146,461,544
9,216,316,554
10,182,314,551
11,153,341,532
12,315,387,662
13,298,203,165
14,253,327,521
15,212,343,347
16,221,215,420
17,152,381,595
18,126,156,492
19,201,182,342
20,273,343,582
21,159,212,704
22,134,197,195
23,260,327,633
24,251,327,579
25,318,478,338
26,126,430,269
27,194,253,466
28,157,174,620
29,235,356,254
30,157,418,449
31,356,391,696
32,357,302,431
33,249,349,732
34,123,289,527
