ID,WIDTH,HEIGHT,COPIES
0,111,157,2
1,94,159,1
2,122,135,1
3,81,86,5
4,113,196,2
5,162,141,1
6,119,160,2
7,125,152,2
8,87,137,1
9,75,214,1
10,131,125,2
11,103,120,4
12,174,146,1
13,88,201,1
14,73,220,2
15,114,109,6
16,76,80,7
17,57,100,1
18,174,128,1
19,61,190,1
20,159,96,2
21,167,84,1
22,78,165,5
23,73,99,2
24,112,130,4
25,167,87,1
26,123,210,2
27,120,209,1
28,125,141,1
29,66,182,4
30,92,78,8
31,79,165,1
32,110,94,6
33,86,99,3
34,130,102,4
35,150,193,1
36,178,109,3
37,138,187,1
38,139,197,2
39,99,79,6
40,94,112,5
41,128,133,2
42,85,115,2
43,154,210,1
44,120,206,1
