ID,WIDTH,HEIGHT,PROFIT
0,738,531,253
1,1136,848,191
2,524,898,622
3,1035,700,259
4,358,886,700
5,738,430,325
6,707,934,150
7,914,971,381
8,599,454,459
9,1003,875,652
10,366,917,264
11,561,396,154
12,862,875,359
13,474,375,280
14,758,343,447
15,777,686,657
16,1008,622,208
17,939,888,649
18,779,452,511
19,595,564,403
20,1022,325,434
21,409,347,383
22,739,518,248
23,518,598,606
24,499,360,254
25,454,828,469
26,654,911,284
27,830,653,705
28,1060,747,340
29,809,596,713
30,905,758,484
31,917,433,694
32,385,531,429
33,940,457,626
34,508,881,578
35,619,872,748
36,834,788,708
37,1069,578,717
38,677,493,235
39,554,491,365
40,928,731,660
41,481,464,608
42,982,982,173
43,516,533,672
44,613,415,482
45,464,831,420
46,1043,416,276
