ID,WIDTH,HEIGHT,PROFIT
0,611,788,184
1,884,928,393
2,875,990,243
3,936,961,479
4,1224,958,707
5,791,1163,378
6,1139,848,425
7,1002,747,637
8,988,434,635
9,1181,1024,223
10,868,1043,225
11,598,580,733
12,1252,479,727
13,507,467,654
14,984,438,727
15,1020,1067,696
16,1304,467,319
17,774,458,410
18,1314,796,737
19,679,881,328
20,1197,745,677
21,1379,418,732
22,846,1093,427
23,672,1014,466
24,869,578,463
25,710,1148,618
26,914,844,355
27,807,1160,399
28,685,1050,677
29,1432,425,734
30,1257,929,291
31,1041,482,408
32,920,1152,559
33,1022,878,550
34,1085,643,492
35,849,553,299
36,534,1018,413
37,720,630,182
38,574,863,701
39,1120,510,532
40,872,813,402
41,762,377,207
42,1084,510,327
43,615,818,461
44,1328,1041,238
45,1175,638,329
46,486,441,643
47,494,957,719
48,1219,787,657
49,1019,668,500
