ID,WIDTH,HEIGHT,PROFIT
0,1702,578,212
1,539,1306,475
2,1046,866,559
3,693,896,707
4,682,673,497
5,792,1350,506
6,1458,1169,388
7,1627,1620,563
8,1584,1150,161
9,1675,800,633
10,599,615,323
11,671,1199,183
12,1232,1050,541
13,1015,1428,402
14,1184,572,685
15,950,1107,510
16,1165,1560,475
17,1271,1082,598
18,1063,717,241
19,1662,1576,426
20,686,1422,467
21,1102,1593,370
22,1708,1347,710
23,807,757,706
24,715,1462,228
25,711,1072,246
26,764,1769,568
27,1582,1532,488
28,1472,1283,582
29,1270,890,215
30,634,1486,321
31,1017,677,565
32,988,912,362
33,1060,1655,235
34,1519,952,255
35,990,1596,468
36,1466,566,206
37,1295,683,330
38,910,1083,237
39,1196,1616,229
40,617,602,267
41,1674,1046,711
42,1012,1059,438
43,839,682,641
44,678,1661,740
45,1595,914,168
46,1381,905,347
47,1146,1410,412
48,1616,1598,694
49,1530,1710,566
50,1641,679,259
51,636,1207,462
52,1645,619,356
53,1688,769,564
54,697,1521,163
