ID,WIDTH,HEIGHT,COPIES
0,124,237,7
1,185,201,4
2,319,201,1
3,219,315,5
4,386,304,5
5,183,329,6
6,250,149,4
7,222,537,3
8,309,227,3
9,273,209,4
10,325,206,2
11,344,421,4
12,380,497,2
13,301,228,4
14,261,409,1
15,194,206,3
16,175,300,6
17,256,244,1
18,183,342,2
19,282,231,4
20,326,147,4
21,268,237,2
22,384,362,1
23,248,363,3
24,295,368,1
25,315,408,2
26,411,246,3
27,189,576,3
28,261,314,3
29,181,382,7
30,256,367,5
31,315,464,3
32,186,561,2
33,167,354,3
34,500,267,2
35,313,471,1
36,492,321,2
37,251,260,7
38,282,364,1
39,429,264,3
