ID,WIDTH,HEIGHT,COPIES
0,111,225,3
1,162,210,1
2,144,98,5
3,107,115,7
4,126,96,7
5,227,210,2
6,132,104,2
7,227,268,1
8,152,122,3
9,166,185,1
10,196,156,1
11,224,192,1
12,136,244,2
13,155,252,1
14,211,172,2
15,169,186,3
16,172,210,4
17,196,255,1
18,193,137,1
19,171,112,2
20,117,110,4
21,195,285,1
22,92,169,6
23,82,206,5
24,211,98,3
25,109,127,5
26,175,227,1
27,160,140,3
28,220,250,1
29,125,92,4
30,102,121,5
31,129,239,2
32,113,157,1
33,178,162,4
34,133,169,1
35,182,99,2
36,150,220,1
37,116,128,6
38,172,144,2
39,146,172,1
40,148,128,4
41,189,96,4
42,82,269,3
43,182,177,1
44,95,146,4
