ID,WIDTH,HEIGHT,GROUP
0,6,3,0
1,6,8,0
2,7,2,0
3,8,4,0
4,8,3,1
5,8,12,2
6,4,11,3
7,5,10,4
8,4,8,5
9,3,4,6
10,7,1,7
11,7,4,8
12,7,12,9
13,6,12,10
14,1,4,11
15,3,7,12
16,8,7,13
17,7,12,14
18,8,11,14
19,4,5,14
20,3,10,15
21,6,5,15
22,1,8,15
23,8,9,16
24,5,11,17
25,3,2,17
26,5,11,18
27,7,12,18
28,7,8,18
29,5,8,18
30,8,8,19
31,4,5,20
32,3,3,21
33,3,8,21
34,1,9,22
35,3,11,22
36,1,9,22
37,5,6,22
38,2,1,23
39,3,10,23
40,2,3,23
41,3,1,24
42,1,1,24
43,4,3,24
44,8,2,25
45,7,7,26
46,8,3,27
47,3,8,27
48,7,10,27
49,2,6,27
50,1,11,28
51,6,8,29
52,7,4,29
53,8,8,30
54,2,7,31
55,6,11,32
56,3,12,33
57,4,11,33
58,4,8,34
59,3,10,35
