ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1666,49,34,1
1,1248,32,39,1
2,1512,42,36,1
3,1216,38,32,1
4,1794,39,46,1
5,1800,40,45,1
6,3249,57,57,1
7,1485,45,33,1
8,2408,56,43,1
9,3776,64,59,1
10,1519,49,31,1
11,1581,31,51,1
12,4556,68,67,1
13,4140,69,60,1
14,3404,46,74,1
15,1764,42,42,1
16,2288,44,52,1
17,2108,34,62,1
18,1980,44,45,1
19,2280,40,57,1
20,2706,66,41,1
21,5184,72,72,1
22,4161,57,73,1
23,2107,43,49,1
24,1504,32,47,1
25,3705,65,57,1
26,1960,49,40,1
27,1440,32,45,1
28,1508,52,29,1
29,3752,67,56,1
30,4030,65,62,1
31,3834,71,54,1
32,1740,29,60,1
33,4402,71,62,1
34,1350,45,30,1
35,2565,45,57,1
36,2340,39,60,1
37,1258,37,34,1
38,1764,36,49,1
39,3904,61,64,1
40,3010,43,70,1
41,1452,44,33,1
42,1152,36,32,1
43,4130,70,59,1
44,1620,45,36,1
45,2592,54,48,1
46,1710,38,45,1
47,3036,44,69,1
48,1833,39,47,1
49,1147,37,31,1
