ID,PROFIT,WIDTH,HEIGHT,COPIES
0,3034,41,74,1
1,1176,28,42,1
2,1620,60,27,1
3,1452,33,44,1
4,3584,64,56,1
5,1682,58,29,1
6,1953,63,31,1
7,4288,64,67,1
8,2800,70,40,1
9,1080,27,40,1
10,1638,42,39,1
11,952,28,34,1
12,2494,43,58,1
13,3337,71,47,1
14,1410,30,47,1
15,3672,51,72,1
16,4340,62,70,1
17,1764,63,28,1
18,1566,58,27,1
19,1922,62,31,1
20,1755,39,45,1
21,3053,71,43,1
22,2484,46,54,1
23,1428,42,34,1
24,2115,47,45,1
25,1134,27,42,1
26,3285,45,73,1
27,2772,42,66,1
28,2146,37,58,1
29,3072,64,48,1
30,1620,54,30,1
31,2074,61,34,1
32,2162,46,47,1
33,5254,71,74,1
34,2132,41,52,1
35,2805,51,55,1
36,1620,45,36,1
37,3596,58,62,1
38,1225,49,25,1
39,675,25,27,1
40,1829,31,59,1
41,2142,42,51,1
42,1470,42,35,1
43,2520,36,70,1
44,3264,51,64,1
45,1296,48,27,1
46,2226,42,53,1
47,1512,27,56,1
48,1860,31,60,1
49,3550,71,50,1
