ID,PROFIT,WIDTH,HEIGHT,COPIES
0,4158,66,63,1
1,1240,31,40,1
2,2442,37,66,1
3,2745,45,61,1
4,2400,50,48,1
5,1624,56,29,1
6,3600,60,60,1
7,870,30,29,1
8,2640,60,44,1
9,1755,27,65,1
10,3420,57,60,1
11,2046,33,62,1
12,4104,72,57,1
13,2088,58,36,1
14,1769,29,61,1
15,2924,43,68,1
16,2808,72,39,1
17,1470,49,30,1
18,3922,53,74,1
19,1650,50,33,1
20,1764,49,36,1
21,3976,71,56,1
22,2108,31,68,1
23,1638,26,63,1
24,2698,71,38,1
25,2442,66,37,1
26,4144,74,56,1
27,3944,68,58,1
28,1767,57,31,1
29,2262,58,39,1
30,1147,31,37,1
31,3835,59,65,1
32,1976,38,52,1
33,1050,42,25,1
34,2772,63,44,1
35,2714,46,59,1
36,3294,61,54,1
37,2520,72,35,1
38,1584,44,36,1
39,1421,29,49,1
40,1680,28,60,1
41,1316,28,47,1
42,4189,71,59,1
43,4692,68,69,1
44,1088,32,34,1
45,2665,41,65,1
46,1968,48,41,1
47,2220,60,37,1
48,1450,29,50,1
49,1368,38,36,1
