        20       100       100
      1161        43        27         1
      2925        65        45         1
      1710        45        38         1
      3380        65        52         1
      2278        67        34         1
      2064        48        43         1
      1925        55        35         1
      3432        66        52         1
      2112        66        32         1
      1530        34        45         1
      3066        42        73         1
      2475        45        55         1
      3330        74        45         1
      3009        51        59         1
      1584        44        36         1
      1410        47        30         1
      1248        32        39         1
      2695        55        49         1
      3540        60        59         1
      2040        30        68         1
