        30       100       100
      1302        42        31         4
      1677        39        43         4
      2201        71        31         1
      1240        40        31         2
      2652        68        39         1
      2014        53        38         2
       925        25        37         2
      3848        74        52         1
      1950        39        50         3
      1860        30        62         1
      2240        35        64         1
      3124        71        44         4
      1287        39        33         1
      2160        45        48         2
      1518        33        46         4
      2304        36        64         3
      3696        66        56         3
      1972        34        58         1
      1394        34        41         3
      2961        63        47         4
      2223        57        39         1
      1806        43        42         4
      3024        63        48         4
      3850        55        70         1
      2464        56        44         3
      1470        30        49         4
      1426        31        46         3
      2976        48        62         3
      1610        35        46         4
      1920        48        40         2
