ID,WIDTH,HEIGHT,COPIES
0,19,9,33
1,67,9,33
2,124,10,33
3,43,11,33
4,71,11,33
5,81,11,33
6,18,12,33
7,97,12,33
8,98,12,33
9,124,12,33
10,80,13,33
11,95,14,33
12,91,15,33
13,116,15,33
14,129,15,33
15,57,16,33
16,120,17,33
17,85,18,33
18,47,19,33
19,54,19,33
20,74,19,33
21,72,21,33
22,73,21,33
23,24,23,33
24,40,23,33
25,75,23,33
26,40,24,33
27,69,25,33
28,54,26,33
29,99,26,33
30,103,26,33
31,124,30,33
32,48,31,33
33,51,31,33
34,55,31,33
35,38,32,33
36,115,32,33
37,124,32,33
38,49,33,33
39,88,37,33
40,122,37,33
41,64,38,33
