ID,WIDTH,HEIGHT,COPIES
0,22,9,1
1,38,9,1
2,41,9,1
3,69,9,1
4,115,10,1
5,50,11,1
6,60,12,1
7,89,12,1
8,130,12,1
9,122,13,1
10,46,14,1
11,54,14,1
12,87,14,1
13,103,15,1
14,24,16,1
15,24,17,1
16,48,17,1
17,85,17,1
18,87,17,1
19,118,17,1
20,27,18,1
21,32,18,1
22,37,18,1
23,68,18,1
24,110,19,1
25,29,20,1
26,57,20,1
27,118,21,1
28,40,22,1
29,86,22,1
30,102,22,1
31,118,22,1
32,31,23,1
33,35,23,1
34,36,23,1
35,122,23,1
36,30,24,1
37,96,24,1
38,107,25,1
39,111,25,1
40,91,26,1
41,37,27,1
42,74,27,1
43,81,27,1
44,129,28,1
45,36,29,1
46,63,30,1
47,90,30,1
48,40,31,1
49,69,31,1
50,86,31,1
51,118,32,1
52,34,33,1
53,21,35,1
54,79,35,1
55,98,35,1
56,118,36,1
57,76,37,1
58,123,37,1
59,39,38,1
