ID,WIDTH,HEIGHT,COPIES
0,118,9,35
1,128,9,35
2,85,10,35
3,110,10,35
4,129,10,35
5,41,11,35
6,57,11,35
7,65,11,35
8,80,11,35
9,90,11,35
10,103,11,35
11,105,11,35
12,34,12,35
13,77,13,35
14,37,15,35
15,24,16,35
16,66,16,35
17,88,18,35
18,125,18,35
19,105,19,35
20,77,20,35
21,86,20,35
22,112,20,35
23,60,21,35
24,87,22,35
25,118,22,35
26,123,22,35
27,117,23,35
28,29,24,35
29,42,26,35
30,79,26,35
31,81,26,35
32,85,27,35
33,87,28,35
34,19,29,35
35,38,29,35
36,88,29,35
37,90,29,35
38,96,29,35
39,56,31,35
40,64,31,35
41,91,31,35
42,60,32,35
43,99,32,35
44,100,32,35
45,108,32,35
46,46,33,35
47,43,34,35
48,54,34,35
49,93,34,35
50,128,34,35
51,46,35,35
52,92,35,35
53,26,36,35
54,73,36,35
55,82,36,35
56,101,36,35
57,83,37,35
58,100,37,35
59,87,38,35
