ID,WIDTH,HEIGHT,COPIES
0,74,8,1
1,46,9,1
2,64,9,1
3,19,10,1
4,45,11,1
5,39,12,1
6,56,12,1
7,45,13,1
8,49,13,1
9,55,13,1
10,67,13,1
11,82,13,1
12,51,14,1
13,52,14,1
14,73,14,1
15,72,15,1
16,40,16,1
17,63,16,1
18,81,16,1
19,26,17,1
20,45,17,1
21,80,17,1
22,83,17,1
23,79,18,1
24,33,19,1
25,64,19,1
26,81,19,1
27,34,20,1
28,16,21,1
29,44,22,1
30,56,22,1
31,41,23,1
32,14,24,1
33,29,24,1
34,73,24,1
35,40,25,1
36,81,25,1
37,16,26,1
38,44,26,1
39,47,26,1
40,64,27,1
41,81,27,1
42,47,28,1
43,87,28,1
44,18,29,1
45,62,29,1
46,17,30,1
47,41,30,1
48,53,30,1
49,57,30,1
