ID,WIDTH,HEIGHT,COPIES
0,11,2,25
1,45,2,25
2,47,2,25
3,9,3,25
4,33,4,25
5,36,5,25
6,47,5,25
7,18,6,25
8,26,6,25
9,28,6,25
10,9,7,25
11,22,7,25
12,34,7,25
13,18,8,25
14,20,8,25
15,25,8,25
16,30,8,25
17,8,9,25
18,25,9,25
19,29,9,25
20,8,10,25
21,14,10,25
22,16,10,25
23,20,10,25
24,28,10,25
25,29,10,25
26,35,10,25
27,38,10,25
28,8,11,25
29,9,11,25
30,16,11,25
31,22,11,25
32,35,11,25
33,38,11,25
34,40,12,25
35,46,12,25
36,49,12,25
37,18,13,25
38,43,13,25
39,17,14,25
40,20,14,25
41,34,14,25
42,10,15,25
43,17,15,25
44,20,15,25
