500 1000 50
82 327 67315 2
82 144 22962 2
77 144 17241 1
120 171 24555 2
73 252 5216 4
71 154 29348 2
65 80 4174 2
86 86 2660 1
101 151 1838 2
130 320 36766 4
84 116 2374 2
180 278 70688 2
67 207 18914 1
76 290 8976 2
43 212 5740 2
81 255 5982 2
63 255 7227 2
79 207 5257 2
69 299 19879 6
69 298 32192 2
75 206 33956 2
90 195 6113 2
75 195 1115 18
75 183 11622 11
75 137 6622 2
90 126 12158 2
75 126 12583 4
52 197 603 2
66 175 6968 1
91 161 16529 1
84 156 42418 4
80 301 21826 1
95 333 79436 2
95 310 70612 2
94 198 33623 1
94 183 22932 2
97 192 17589 1
48 65 561 1
103 205 20588 1
123 169 4615 2
119 174 6741 4
75 187 8181 2
98 191 3959 1
75 191 24459 2
86 290 49495 2
79 194 41216 4
79 136 3552 4
95 185 26975 2
95 184 48872 2
98 255 31818 1
