500 1000 100
115 236 50737 1
169 335 23218 1
100 298 11762 1
93 113 16977 2
166 251 10827 1
90 218 773 1
127 258 8560 1
113 228 9364 2
111 228 55684 2
114 225 21418 2
77 135 302 1
52 77 3357 1
87 224 2702 4
129 285 30951 1
153 287 134069 1
153 202 66437 1
112 283 1515 2
73 402 8874 2
108 180 37040 3
146 342 61423 1
120 269 3272 1
104 340 14362 2
137 292 5269 2
98 302 69693 1
97 302 10240 1
185 332 64266 1
184 332 62822 2
140 174 33392 3
140 332 71726 3
100 126 5224 2
133 326 54558 6
137 326 35411 2
190 333 198197 4
174 326 34187 2
170 326 92751 2
87 328 21899 2
154 326 137685 1
153 326 51093 1
140 311 19647 2
124 311 50239 2
138 326 162249 4
176 240 702 2
112 326 5645 2
156 345 70192 3
94 199 1047 2
148 180 24719 2
136 366 131325 1
126 157 45861 6
136 233 14850 4
136 166 1028 6
184 191 40409 2
67 142 8952 16
183 326 93834 2
93 142 2008 2
79 306 29519 2
219 232 27196 2
219 233 2691 2
126 224 3819 2
165 316 150424 2
160 316 4143 3
83 102 65 2
156 301 1118 2
137 329 53573 2
138 329 102136 2
157 328 7060 2
157 371 60426 4
90 145 4756 2
124 335 50475 2
165 335 1566 2
153 186 43792 2
173 333 74080 1
140 321 48731 1
57 278 6953 2
63 87 423 3
64 137 11361 1
98 186 8172 1
63 117 1662 1
80 329 9899 1
63 185 20097 1
71 185 17567 2
65 200 17109 2
86 180 34464 6
94 279 875 6
80 276 22814 2
56 175 2492 2
80 262 8055 2
77 242 14915 2
77 77 1415 2
96 292 11888 4
62 398 292 4
70 261 414 2
79 259 12547 4
108 216 6135 2
65 328 58500 4
61 287 5050 6
64 286 35520 2
143 214 9133 1
65 257 8726 2
65 254 9833 2
65 249 13297 2
