1000 2000 50
81 651 80821 1
195 574 155626 2
164 353 87108 2
126 300 65894 10
162 171 75270 1
128 529 9305 2
111 441 47103 2
254 558 358309 1
137 321 9274 3
206 417 138593 1
262 338 171342 2
153 286 103370 4
129 434 25963 2
157 524 67329 2
164 326 161344 2
246 459 122009 1
162 706 76829 1
216 229 81282 1
239 454 17623 1
226 414 124292 1
166 214 95175 1
94 344 22254 2
239 431 61064 1
161 591 41580 2
148 487 56289 4
193 296 33082 2
100 245 27953 2
68 139 12111 2
183 451 71977 2
120 470 65834 2
97 303 74431 2
164 365 69771 4
197 560 2688 1
143 560 117332 4
159 446 48303 4
211 316 54417 3
143 150 19318 1
153 337 10112 3
152 337 45284 3
153 238 11525 1
152 238 1522 1
194 551 77507 1
155 205 17924 2
228 366 3003 4
227 366 31895 4
228 234 2702 4
163 706 1906 2
149 414 40555 4
149 413 162778 4
170 409 28912 6
