1000 2000 100
225 532 125940 1
86 532 7745 1
189 627 135923 4
169 629 52483 3
213 477 100010 3
150 243 941 2
111 213 4560 1
79 408 166 2
162 382 13425 2
116 549 6432 2
161 310 88062 1
142 423 16143 1
127 397 80676 2
147 388 19903 4
247 681 52203 1
241 475 127509 3
164 655 106933 2
164 288 36514 2
154 288 1413 1
241 342 79720 2
146 505 125497 4
143 309 31536 2
130 160 1196 2
172 172 36634 1
203 302 13439 2
261 641 18980 4
168 233 36014 2
361 557 134118 2
137 615 4422 4
135 415 37241 1
152 580 3672 2
87 425 13597 2
162 510 8578 2
126 510 32036 2
159 414 3617 2
139 599 10239 6
138 597 31156 2
151 413 23076 2
181 391 213322 2
151 391 12063 4
151 367 12785 5
151 274 60499 2
181 252 94635 2
151 252 36293 4
105 394 19955 2
132 351 19380 1
183 322 35429 1
168 313 3733 4
160 602 223756 1
191 666 21741 2
191 621 113 2
188 396 86752 1
188 367 17068 2
194 384 8134 1
96 130 3697 1
206 410 94849 1
246 339 41363 2
239 349 105277 2
151 374 3752 2
196 382 106226 1
151 382 142716 2
173 581 268061 2
159 389 168506 4
159 272 33263 2
190 370 122066 2
190 368 82425 2
196 511 74321 1
166 277 92665 2
210 268 23095 3
127 646 171253 4
142 374 89143 2
186 382 20009 2
117 397 90004 4
212 355 113190 1
179 314 149711 2
143 527 166656 4
125 355 55389 4
125 288 95319 4
79 188 2222 2
145 274 16067 2
88 346 17391 1
158 572 178088 2
222 600 28518 1
162 464 27963 1
247 564 432553 1
239 357 8475 1
272 354 42855 2
104 377 27569 2
171 218 116402 1
170 219 31424 1
134 281 40381 1
197 348 3455 2
261 526 116468 10
281 297 246145 1
571 713 777974 4
571 705 12253 4
585 705 554093 1
585 672 796963 3
285 705 357604 2
278 670 14537 2
