1000 2000 150
203 296 15571 1
213 293 33830 1
185 455 44218 4
160 283 23330 1
262 534 217890 1
168 222 1887 2
234 505 132700 1
163 323 5779 3
161 190 37137 3
180 186 24776 2
181 630 35042 2
206 426 4663 1
155 616 145612 2
132 171 18260 2
266 442 105202 1
175 439 57503 1
199 437 174891 2
209 264 18052 1
94 398 43233 1
209 643 112024 1
133 548 97707 4
256 330 76479 3
162 701 24552 10
130 380 79348 10
333 412 234757 1
272 702 148479 1
193 412 125673 6
140 426 50915 3
224 681 4329 1
216 443 671 2
216 440 81241 10
216 277 23200 2
445 654 412455 2
412 654 661386 2
345 654 29871 2
137 245 67982 2
286 689 212412 2
352 649 435248 1
478 670 492965 2
379 666 170433 2
312 354 73007 2
285 654 317945 1
278 666 49355 12
254 312 50786 2
145 224 8413 2
312 664 56607 8
238 664 248475 4
345 666 55497 2
379 682 490035 2
122 130 12096 8
360 648 24343 2
260 648 149686 2
260 645 138666 2
242 586 126727 4
313 666 110566 2
428 695 701194 6
361 695 72818 2
340 687 805863 4
238 324 145204 2
234 687 56457 2
379 687 484894 4
312 687 374575 2
312 320 107816 2
245 254 52536 2
372 643 18108 4
277 372 48498 2
243 372 177867 4
172 243 82608 2
339 643 714692 2
239 643 131688 6
472 643 1089320 2
472 654 787911 2
184 227 81154 2
417 430 169179 8
380 417 405273 6
330 417 8830 34
192 194 90800 2
187 194 33957 2
328 359 297322 4
274 331 7679 2
134 316 77025 4
118 349 3487 2
446 627 23335 1
325 627 343635 4
246 627 6754 1
240 647 220513 6
307 659 20179 2
240 281 85428 2
314 626 506266 3
214 340 5438 4
281 657 5665 3
280 657 157499 1
263 657 286395 4
247 313 7660 2
374 626 116255 2
274 661 329817 2
240 661 100792 2
174 281 12591 8
307 669 169133 8
483 669 95225 2
280 669 547269 1
346 654 13917 1
259 682 368371 2
307 657 83434 4
214 240 65122 2
354 447 98978 2
243 660 207490 2
223 327 33240 2
220 364 231335 2
390 428 92575 2
243 690 87075 2
397 437 194845 2
305 437 50412 2
305 670 75150 2
207 354 157650 2
203 354 34694 2
195 670 177466 4
315 647 350189 2
193 345 149753 2
319 644 65284 2
203 284 30985 2
288 697 277947 2
272 318 1148 2
272 304 118496 2
240 272 31950 2
323 587 8955 2
305 664 455786 2
261 645 114287 2
258 632 130039 2
196 649 380151 2
197 262 120309 2
228 290 71900 2
375 447 56662 2
357 439 14011 2
255 642 285853 2
238 663 257079 8
204 663 41897 16
274 440 126087 1
258 638 252755 1
261 317 59332 3
254 692 51777 1
201 667 430340 4
234 366 118420 2
234 343 95 1
290 368 67501 1
244 544 49263 1
164 237 48430 2
183 367 5189 2
166 387 39666 2
131 395 5267 2
