500 1000 150
65 249 862 2
48 200 682 2
119 214 9026 1
71 284 8496 2
78 275 11257 2
69 300 58369 4
77 275 10406 2
61 275 57428 4
60 275 7267 4
90 318 7431 2
77 276 18199 2
86 340 16528 2
87 340 7259 2
84 287 6639 2
84 94 841 4
84 285 4689 2
83 285 30851 2
83 94 18462 2
90 285 32589 2
90 94 4718 2
94 289 316 2
94 94 4952 2
91 94 557 8
89 94 22909 2
89 270 48303 2
92 285 61291 4
92 94 2335 6
91 289 53543 2
92 288 21473 2
91 285 7714 2
91 290 2705 2
83 340 7532 2
85 342 49021 2
84 338 12490 2
85 340 1208 6
84 340 8237 4
84 339 13601 2
86 341 20220 2
70 217 2049 2
72 229 50632 2
84 293 1534 2
89 273 8270 2
90 133 4587 1
55 139 18056 2
109 123 491 1
83 131 16515 3
133 169 28602 1
82 155 2037 5
137 169 1188 1
82 201 2313 1
54 171 29999 3
54 168 470 2
54 132 2458 3
54 156 1642 3
54 149 20955 3
213 352 43040 2
162 337 94117 1
233 337 27607 3
163 335 2771 1
207 337 35945 2
101 130 157 2
129 273 4177 2
79 273 14443 2
193 334 112479 1
79 211 10410 4
161 258 66643 1
145 176 61669 1
155 294 5130 1
155 344 160807 2
169 252 12847 1
157 169 37576 3
157 344 74335 3
127 344 48851 2
233 317 17516 2
85 187 1173 1
184 320 16178 1
185 320 141607 1
111 314 68443 1
40 212 1232 2
147 315 391 2
110 290 105996 1
80 136 23695 8
148 176 18055 2
146 249 17177 2
104 142 21428 2
90 286 20381 2
121 242 6115 2
184 260 59097 1
113 300 3292 3
115 218 85131 4
210 420 23370 4
163 420 206375 4
137 284 6882 2
205 239 140130 1
159 185 29675 1
118 231 26481 1
116 146 19269 1
241 330 86414 2
135 152 17008 2
85 326 23746 1
120 195 9282 1
138 213 52053 2
55 90 3508 1
64 159 2777 2
81 187 9550 2
81 175 28354 1
60 162 16249 1
94 312 5906 1
110 173 44937 1
116 261 22260 1
109 261 1391 1
120 324 16444 1
104 202 631 1
76 196 18388 6
40 213 3359 1
61 186 17650 1
69 248 33858 2
69 206 7584 2
45 234 35415 2
57 220 5340 2
70 211 5624 3
101 148 23076 1
106 146 335 1
92 227 43896 4
80 141 5049 1
131 267 8380 1
84 111 3920 2
117 252 156 1
81 161 13964 3
80 95 749 3
90 93 4531 2
90 315 3399 2
103 213 8130 1
77 308 29849 2
66 85 11178 2
133 221 48503 1
87 219 29564 1
99 218 55922 2
104 132 481 1
47 199 15754 1
104 321 47602 1
66 274 3359 4
128 165 282 3
81 350 33815 10
65 190 9995 10
166 206 49410 1
136 351 102238 1
96 206 1195 6
70 213 30486 3
112 340 26262 1
