500 1000 100
92 293 44985 1
116 226 18415 1
74 169 9353 4
77 156 425 4
72 289 29980 2
72 184 37473 2
83 204 12206 9
81 332 21034 2
99 183 11057 8
100 151 8572 2
50 114 7658 1
102 315 28664 1
51 226 6913 2
49 181 18838 2
44 184 21938 2
42 185 10869 4
76 93 2988 5
76 92 1070 2
68 405 21392 1
85 85 3805 1
55 237 1139 2
47 237 1094 2
59 262 23073 2
104 158 7395 1
90 212 18617 8
40 72 1708 1
106 326 20564 1
43 326 10221 1
74 167 2364 6
63 118 5445 3
98 205 3463 1
58 220 14227 2
57 285 15163 2
45 188 5500 3
58 204 5223 2
68 279 274 6
107 122 23652 2
91 208 45677 4
52 163 2774 2
76 314 3595 3
75 314 1040 4
57 213 2693 2
55 231 17267 4
55 213 9433 2
46 199 14333 2
57 167 23615 2
98 200 9021 1
54 225 6907 12
53 225 3229 2
62 94 4150 2
55 94 13527 1
91 185 72 6
135 232 69170 2
117 135 25706 2
95 135 7048 2
115 258 3463 4
102 265 36699 12
77 193 2515 1
124 164 48756 5
77 126 7138 2
77 178 21424 4
114 308 75821 4
83 156 17836 2
95 213 37566 1
109 227 4330 1
123 151 32764 1
69 185 1530 18
142 185 1560 1
185 194 30524 1
185 227 16135 1
83 153 23033 2
109 201 17024 1
82 279 13669 2
44 189 6046 1
202 340 99153 1
162 367 12619 1
86 87 9778 6
108 170 36121 1
77 164 9310 2
50 238 1083 1
106 196 494 2
69 279 336 5
167 368 11386 1
217 255 122965 1
102 255 49433 1
95 206 627 1
91 95 6547 1
99 181 10939 1
79 130 37709 2
69 264 42256 1
235 299 112211 1
127 326 23208 1
134 165 51365 1
85 153 15011 1
85 167 3571 8
67 288 66281 1
126 179 8370 1
104 209 4279 1
78 209 58947 1
64 128 4157 2
