500 1000 50
111 329 30096 1
112 354 29993 1
135 222 85124 1
135 210 55300 1
123 160 3879 1
133 142 27870 1
77 283 56400 1
187 307 4642 1
138 168 26943 1
120 332 55845 1
117 316 3038 1
109 313 935 1
99 177 964 1
151 324 39603 1
80 334 19560 1
97 176 13899 4
81 159 2615 2
60 164 12301 1
114 293 18267 2
48 293 2200 2
67 118 11167 1
92 293 45395 1
116 226 18078 1
74 169 4345 4
77 156 1600 4
72 289 28296 2
72 184 6101 2
83 204 3447 9
81 332 52350 2
99 183 19230 8
100 151 24137 2
50 114 19400 1
102 315 44848 1
51 226 475 2
49 181 10738 2
44 184 15235 2
42 185 378 4
76 93 11799 5
76 92 15463 2
68 405 16326 1
85 85 21963 1
55 237 11836 2
47 237 287 2
59 262 8639 2
104 158 9464 1
90 212 14206 8
40 72 449 1
106 326 61672 1
43 326 12048 1
74 167 10777 6
