500 1000 50
143 154 23690 1
97 154 2061 6
136 143 1007 2
74 320 20854 8
135 162 9818 1
158 328 23810 2
160 321 161489 2
95 270 19572 2
158 183 94061 4
83 158 3900 4
144 328 15128 2
108 324 2266 2
83 155 1184 2
120 312 12102 4
60 352 1127 1
32 339 1490 1
78 156 111 1
105 127 18979 1
42 138 9505 1
234 354 67542 1
96 167 54224 1
48 167 2781 1
82 142 10659 1
67 108 1186 1
73 116 2919 1
70 108 15506 1
105 216 61004 1
76 134 18654 1
73 268 62901 2
54 124 5246 2
82 106 5339 1
133 229 3394 2
71 200 1827 2
39 121 5485 1
67 279 3760 2
67 174 7489 1
64 95 1597 2
58 294 12694 6
72 263 2385 2
66 149 6734 3
68 336 38060 1
96 334 14982 1
167 220 13636 1
134 357 6440 1
69 268 21857 1
80 336 2050 1
69 89 9429 1
100 186 1005 1
187 336 174939 1
152 329 44979 6
