500 1000 100
165 316 150424 2
160 316 4143 3
83 102 65 2
156 301 1118 2
137 329 53573 2
138 329 102136 2
157 328 7060 2
157 371 60426 4
90 145 4756 2
124 335 50475 2
165 335 1566 2
153 186 43792 2
173 333 74080 1
140 321 48731 1
57 278 6953 2
63 87 423 3
64 137 11361 1
98 186 8172 1
63 117 1662 1
80 329 9899 1
63 185 20097 1
71 185 17567 2
65 200 17109 2
86 180 34464 6
94 279 875 6
80 276 22814 2
56 175 2492 2
80 262 8055 2
77 242 14915 2
77 77 1415 2
96 292 11888 4
62 398 292 4
70 261 414 2
79 259 12547 4
108 216 6135 2
65 328 58500 4
61 287 5050 6
64 286 35520 2
143 214 9133 1
65 257 8726 2
65 254 9833 2
65 249 13297 2
48 200 30970 2
119 214 38654 1
71 284 13743 2
78 275 14447 2
69 300 7044 4
77 275 11203 2
61 275 2032 4
60 275 3225 4
90 318 33498 2
77 276 17545 2
86 340 8527 2
87 340 51149 2
84 287 41256 2
84 94 107 4
84 285 22109 2
83 285 10401 2
83 94 165 2
90 285 22348 2
90 94 5813 2
94 289 71300 2
94 94 14137 2
91 94 2200 8
89 94 18436 2
89 270 3971 2
92 285 40840 4
92 94 7849 6
91 289 61347 2
92 288 16697 2
91 285 64949 2
91 290 60645 2
83 340 92753 2
85 342 19178 2
84 338 66919 2
85 340 26959 6
84 340 3929 4
84 339 71193 2
86 341 38471 2
70 217 2427 2
72 229 40597 2
84 293 43079 2
89 273 6787 2
90 133 29405 1
55 139 3806 2
109 123 8103 1
83 131 18167 3
133 169 22962 1
82 155 21267 5
137 169 47839 1
82 201 9013 1
54 171 10751 3
54 168 3441 2
54 132 8478 3
54 156 221 3
54 149 3252 3
213 352 60111 2
162 337 19122 1
233 337 116714 3
163 335 15266 1
