500 1000 100
92 287 15915 3
93 283 51467 2
65 276 44983 2
50 182 2634 3
56 227 22939 2
57 225 484 2
56 209 862 2
138 189 38800 1
88 174 15067 1
73 167 25077 8
65 74 8062 2
61 74 6404 1
66 165 3714 4
93 194 3483 2
52 95 2793 1
76 218 404 2
88 189 3208 4
90 167 353 4
77 322 25929 2
51 186 1056 2
77 180 16270 8
77 146 1819 2
130 202 53974 5
94 106 1846 1
106 206 11007 1
92 184 39391 2
94 123 7525 6
77 118 6986 4
69 111 6906 1
182 250 6569 1
182 266 191846 1
141 146 10424 5
66 232 21090 2
91 286 42986 6
77 277 49290 4
84 272 63119 6
68 261 6505 2
85 223 20532 2
90 164 31233 2
92 322 39461 2
113 165 13938 1
105 162 16787 1
100 158 49920 2
113 155 12323 1
143 154 1154 1
97 154 2563 6
136 143 878 2
74 320 73071 8
135 162 5154 1
158 328 36976 2
160 321 54379 2
95 270 2845 2
158 183 10773 4
83 158 19331 4
144 328 26160 2
108 324 101059 2
83 155 13682 2
120 312 3946 4
60 352 11859 1
32 339 10976 1
78 156 843 1
105 127 25273 1
42 138 6091 1
234 354 162752 1
96 167 15762 1
48 167 12772 1
82 142 30430 1
67 108 6989 1
73 116 753 1
70 108 9080 1
105 216 32569 1
76 134 19777 1
73 268 10821 2
54 124 8397 2
82 106 19873 1
133 229 26926 2
71 200 1109 2
39 121 9517 1
67 279 43415 2
67 174 25937 1
64 95 46 2
58 294 6900 6
72 263 18890 2
66 149 6443 3
68 336 53716 1
96 334 33322 1
167 220 1885 1
134 357 149806 1
69 268 18259 1
80 336 16761 1
69 89 4738 1
100 186 11656 1
187 336 193510 1
152 329 4229 6
152 168 15505 2
136 168 50464 4
169 327 2872 7
136 155 11964 4
152 333 54867 6
120 328 30473 3
