1000 2000 100
262 484 124323 1
160 489 176908 4
160 164 20827 4
161 280 42514 2
207 376 201885 3
155 512 207573 1
176 512 70770 1
126 677 28542 2
209 661 154905 2
138 558 45275 2
193 641 1971 3
162 475 62956 4
162 181 45406 4
126 463 7289 16
365 565 63536 2
299 365 333677 2
365 432 30778 2
365 632 84285 6
128 460 111319 2
112 358 757 2
174 293 28193 2
152 391 4205 2
127 263 69081 2
112 298 8233 2
113 230 17685 2
216 294 3724 2
149 396 58393 2
148 630 138367 2
125 536 111490 2
135 536 256086 2
163 536 16313 2
107 537 7804 2
162 387 21083 6
179 373 69388 2
138 363 103513 18
89 212 3358 2
89 202 9209 2
138 374 28364 30
265 286 97896 1
265 361 29958 3
138 370 75215 16
138 658 28270 2
126 302 13958 2
126 377 29029 6
205 530 93308 4
304 667 423678 4
304 307 48004 2
267 491 185947 1
269 497 41090 1
236 329 90661 1
228 667 179335 1
170 396 145525 4
239 411 7387 1
302 667 82331 2
302 380 23905 4
296 304 296459 4
188 211 70078 1
236 307 56983 2
302 307 30764 1
236 341 216511 2
124 267 6887 2
224 336 22441 2
173 366 65075 2
175 396 141721 2
179 296 9507 1
119 462 128867 4
237 407 50299 2
307 569 75375 1
269 307 23423 1
367 521 48076 2
366 693 523402 2
289 293 58158 2
213 305 66252 3
334 356 8660 2
300 654 589180 4
270 467 119425 2
267 654 30176 4
267 270 36819 2
234 654 50178 12
234 320 186668 2
200 654 2176 4
142 272 130657 2
277 533 305620 1
277 493 57281 2
133 669 20769 6
133 536 41796 6
106 365 32894 1
94 154 6140 3
171 197 1439 1
223 351 250851 1
149 449 63536 1
149 235 45523 1
314 655 176393 1
179 551 119349 1
208 445 68032 1
401 403 535044 4
239 348 59367 2
212 330 3132 4
146 647 12043 2
93 642 13840 2
